;time_stamp;Name;Kernel;feature_cnt;type;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;rauc;duration;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
5180;2017_09_25_12:02:19;SVC;rbf;;descriptive_features;68.0;67.0;30.0;29.0;20.0;21.0;8.0;10.0;33.9;39.04;69.54;0.016;0.67;0.28;0.71;0.67;0.69;0.72;0.33;0.68;0.72;0.7
5181;2017_09_25_12:02:19;SVC;sigmoid;;descriptive_features;68.0;67.0;30.0;29.0;18.0;20.0;9.0;12.0;30.51;28.92;64.48;0.02;0.6;0.31;0.67;0.6;0.63;0.69;0.4;0.62;0.69;0.65
5182;2017_09_25_12:02:19;SGD;;;descriptive_features;68.0;67.0;30.0;29.0;30.0;0.0;29.0;0.0;50.85;0.0;50.0;0.016;1.0;1.0;0.51;1.0;0.68;0.0;0.0;0.0;0.0;0.0
5183;2017_09_25_12:02:19;MLP;;;descriptive_features;68.0;67.0;30.0;29.0;15.0;23.0;6.0;15.0;25.42;29.16;64.66;0.031;0.5;0.21;0.71;0.5;0.59;0.79;0.5;0.61;0.79;0.69
5184;2017_09_25_12:02:26;RandomForest;;;descriptive_features;68.0;67.0;30.0;29.0;20.0;17.0;12.0;10.0;33.9;25.32;62.64;7.1720000000000015;0.67;0.41;0.62;0.67;0.64;0.59;0.33;0.63;0.59;0.61
5185;2017_09_25_12:02:26;AdaBoost;;;descriptive_features;68.0;67.0;30.0;29.0;21.0;15.0;14.0;9.0;35.59;21.79;60.86;0.255;0.7;0.48;0.6;0.7;0.65;0.52;0.3;0.62;0.52;0.57
5186;2017_09_25_12:02:34;Vote;;;descriptive_features;68.0;67.0;30.0;29.0;19.0;23.0;6.0;11.0;71.19;42.52;71.32;7.017;0.63;0.21;0.76;0.63;0.69;0.79;0.37;0.68;0.79;0.73
5187;2017_09_25_12:02:34;LogisticRegression;;;descriptive_features;68.0;67.0;30.0;29.0;17.0;14.0;15.0;13.0;28.81;4.95;52.47;0.016;0.57;0.52;0.53;0.57;0.55;0.48;0.43;0.52;0.48;0.5
5188;2017_09_25_12:02:34;GaussianNB;;;descriptive_features;68.0;67.0;30.0;29.0;27.0;7.0;22.0;3.0;45.76;14.29;57.07;0.022000000000000002;0.9;0.76;0.55;0.9;0.68;0.24;0.1;0.7;0.24;0.36
5189;2017_09_25_12:02:34;MultinomialNB;;;descriptive_features;68.0;67.0;30.0;29.0;12.0;26.0;3.0;18.0;20.34;29.4;64.83;0.016;0.4;0.1;0.8;0.4;0.53;0.9;0.6;0.59;0.9;0.71
5190;2017_09_25_12:02:34;BernoulliNB;;;descriptive_features;68.0;67.0;30.0;29.0;22.0;16.0;13.0;8.0;37.29;28.59;64.25;0.016;0.73;0.45;0.63;0.73;0.68;0.55;0.27;0.67;0.55;0.6
5191;2017_09_25_12:02:34;SVC;linear;;descriptive_features;68.0;67.0;30.0;29.0;21.0;20.0;9.0;9.0;35.59;38.97;69.48;0.024;0.7;0.31;0.7;0.7;0.7;0.69;0.3;0.69;0.69;0.69
5192;2017_09_25_12:02:34;SVC;poly;;descriptive_features;68.0;67.0;30.0;29.0;24.0;16.0;13.0;6.0;40.68;35.31;67.59;0.013999999999999999;0.8;0.45;0.65;0.8;0.72;0.55;0.2;0.73;0.55;0.63
5193;2017_09_25_12:02:34;SVC;rbf;;descriptive_features;68.0;67.0;30.0;29.0;20.0;21.0;8.0;10.0;33.9;39.04;69.54;0.005;0.67;0.28;0.71;0.67;0.69;0.72;0.33;0.68;0.72;0.7
5194;2017_09_25_12:02:34;SVC;sigmoid;;descriptive_features;68.0;67.0;30.0;29.0;18.0;20.0;9.0;12.0;30.51;28.92;64.48;0.016;0.6;0.31;0.67;0.6;0.63;0.69;0.4;0.62;0.69;0.65
5195;2017_09_25_12:02:34;SGD;;;descriptive_features;68.0;67.0;30.0;29.0;11.0;22.0;7.0;19.0;18.64;12.44;56.26;0.016;0.37;0.24;0.61;0.37;0.46;0.76;0.63;0.54;0.76;0.63
