;name;place_name;promoted_content;query;tweet_volume;url
179;#USMNT;Winnipeg;;%23USMNT;17510;http://twitter.com/search?q=%23USMNT
180;#BadMannersMovies;Winnipeg;;%23BadMannersMovies;;http://twitter.com/search?q=%23BadMannersMovies
181;#TrumpJr;Winnipeg;;%23TrumpJr;;http://twitter.com/search?q=%23TrumpJr
182;#4H4TheWorld;Winnipeg;;%234H4TheWorld;;http://twitter.com/search?q=%234H4TheWorld
183;#ndpldr;Winnipeg;;%23ndpldr;;http://twitter.com/search?q=%23ndpldr
184;#HotSummerInTheCity;Winnipeg;;%23HotSummerInTheCity;;http://twitter.com/search?q=%23HotSummerInTheCity
185;#IfOnlyPeopleWould;Winnipeg;;%23IfOnlyPeopleWould;14851;http://twitter.com/search?q=%23IfOnlyPeopleWould
186;#SeemsHotterThanItIs;Winnipeg;;%23SeemsHotterThanItIs;;http://twitter.com/search?q=%23SeemsHotterThanItIs
187;Liu Xiaobo;Worldwide;;%22Liu+Xiaobo%22;37900;http://twitter.com/search?q=%22Liu+Xiaobo%22
188;#MacriReprimePepsico;Worldwide;;%23MacriReprimePepsico;34600;http://twitter.com/search?q=%23MacriReprimePepsico
189;#FelizJueves;Worldwide;;%23FelizJueves;28487;http://twitter.com/search?q=%23FelizJueves
190;#diamundialdorock;Worldwide;;%23diamundialdorock;11873;http://twitter.com/search?q=%23diamundialdorock
191;#NationalFrenchFryDay;Worldwide;;%23NationalFrenchFryDay;15879;http://twitter.com/search?q=%23NationalFrenchFryDay
192;#LaLunaSangreProfT;Worldwide;;%23LaLunaSangreProfT;133546;http://twitter.com/search?q=%23LaLunaSangreProfT
193;Kyle Walker;Worldwide;;%22Kyle+Walker%22;15050;http://twitter.com/search?q=%22Kyle+Walker%22
194;Bonucci;Worldwide;;Bonucci;71779;http://twitter.com/search?q=Bonucci
195;Rybarikova;Worldwide;;Rybarikova;11523;http://twitter.com/search?q=Rybarikova
196;The Voice Kids;Worldwide;;%22The+Voice+Kids%22;;http://twitter.com/search?q=%22The+Voice+Kids%22
197;????;Worldwide;;%E5%8A%89%E6%9A%81%E6%B3%A2%E6%B0%8F;13171;http://twitter.com/search?q=%E5%8A%89%E6%9A%81%E6%B3%A2%E6%B0%8F
198;Guillermo Zapata;Worldwide;;%22Guillermo+Zapata%22;;http://twitter.com/search?q=%22Guillermo+Zapata%22
199;Will Muschamp;Worldwide;;%22Will+Muschamp%22;;http://twitter.com/search?q=%22Will+Muschamp%22
200;Del Caño;Worldwide;;%22Del+Ca%C3%B1o%22;;http://twitter.com/search?q=%22Del+Ca%C3%B1o%22
201;Port de Balès;Worldwide;;%22Port+de+Bal%C3%A8s%22;;http://twitter.com/search?q=%22Port+de+Bal%C3%A8s%22
202;Sammy Sosa;Worldwide;;%22Sammy+Sosa%22;;http://twitter.com/search?q=%22Sammy+Sosa%22
203;#?????_???????_???????;Worldwide;;%23%D8%A7%D9%84%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A_%D9%84%D9%84%D8%A8%D8%B7%D8%A7%D8%B7%D8%B3;13477;http://twitter.com/search?q=%23%D8%A7%D9%84%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A_%D9%84%D9%84%D8%A8%D8%B7%D8%A7%D8%B7%D8%B3
204;#EmanetinizEmanetimizdir;Worldwide;;%23EmanetinizEmanetimizdir;18383;http://twitter.com/search?q=%23EmanetinizEmanetimizdir
205;#MyAgeInAPhrase;Worldwide;;%23MyAgeInAPhrase;;http://twitter.com/search?q=%23MyAgeInAPhrase
206;#????????????;Worldwide;;%23%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E5%A3%B0%E5%84%AA%E3%81%95%E3%82%93%E3%81%AF%E3%81%93%E3%81%AE%E4%BA%BA;23539;http://twitter.com/search?q=%23%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E5%A3%B0%E5%84%AA%E3%81%95%E3%82%93%E3%81%AF%E3%81%93%E3%81%AE%E4%BA%BA
207;#VampsNewAlbum;Worldwide;;%23VampsNewAlbum;27875;http://twitter.com/search?q=%23VampsNewAlbum
208;#ThursdayThoughts;Worldwide;;%23ThursdayThoughts;42433;http://twitter.com/search?q=%23ThursdayThoughts
209;#StayStrongAppie;Worldwide;;%23StayStrongAppie;21844;http://twitter.com/search?q=%23StayStrongAppie
210;#themasksinger2;Worldwide;;%23themasksinger2;51638;http://twitter.com/search?q=%23themasksinger2
211;#13Jul;Worldwide;;%2313Jul;34535;http://twitter.com/search?q=%2313Jul
212;#JustoAhoraTengoGanas;Worldwide;;%23JustoAhoraTengoGanas;;http://twitter.com/search?q=%23JustoAhoraTengoGanas
213;#Woman;Worldwide;;%23Woman;;http://twitter.com/search?q=%23Woman
214;#????????;Worldwide;;%23%E3%82%BB%E3%82%B7%E3%83%AB%E3%81%AE%E3%82%82%E3%81%8F%E3%82%8D%E3%81%BF;13854;http://twitter.com/search?q=%23%E3%82%BB%E3%82%B7%E3%83%AB%E3%81%AE%E3%82%82%E3%81%8F%E3%82%8D%E3%81%BF
215;#????_?????_???????;Worldwide;;%23%D8%B4%D9%83%D8%B1%D8%A7_%D9%88%D8%B2%D8%A7%D8%B1%D9%87_%D8%A7%D9%84%D8%A7%D8%B3%D9%83%D8%A7%D9%86;;http://twitter.com/search?q=%23%D8%B4%D9%83%D8%B1%D8%A7_%D9%88%D8%B2%D8%A7%D8%B1%D9%87_%D8%A7%D9%84%D8%A7%D8%B3%D9%83%D8%A7%D9%86
216;#FinalFaceOffPSL;Worldwide;;%23FinalFaceOffPSL;10392;http://twitter.com/search?q=%23FinalFaceOffPSL
217;#SorryNotSorryOutNOW;Worldwide;;%23SorryNotSorryOutNOW;18969;http://twitter.com/search?q=%23SorryNotSorryOutNOW
218;#FicoBoladoQuando;Worldwide;;%23FicoBoladoQuando;;http://twitter.com/search?q=%23FicoBoladoQuando
