;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854323113106055168;"['Groupon', 'Beauty', '&', 'amp', ';', 'Wellness', '80', '%', 'today', '–', 'codes', '!', 'https', ':', '//t.co/7t8ECaxu4S']";85;15;False;True;False;0;False;0.07058823529411765;False;False;2137;27687;274;23;False;False;True;0.0
854326633737728000;['groupon', 'lit'];14;2;False;False;False;0;False;0.0;False;False;1957;10144;380;348;False;True;False;0.0
854326966010261504;['$', '10', 'Target', 'eGift', 'Card', '$', '5', '(', 'Groupon', ')', '--', 'Invite', 'YMMV', 'https', ':', '//t.co/b3GKYFIHKw'];82;16;False;False;False;0;False;0.1951219512195122;False;False;632;18314;82;0;False;True;False;0.0
854327021740191744;['Marking', 'favorites', 'Groupon', 'speak', '.'];48;5;False;False;False;0;True;0.041666666666666664;False;False;2053;56271;600;257;False;False;False;0.0
854327101331296256;['boyfriend', 'calls', 'Groupon', 'queen', '.', 'knows', '.'];61;7;False;False;False;0;True;0.04918032786885246;False;False;2053;56272;600;257;False;False;False;0.0
854327226938085376;['Screw', ',', 'Groupon', 'ad', 'Youtube', '.', '/like/', 'cook', '.'];51;9;False;False;False;0;True;0.0784313725490196;False;False;3742;59673;718;2354;False;True;True;0.0
854327429128527875;['Groupon', 'Cl', 'Cmn', '(', 'GRPN', ')', ':', 'Volume', 'Topping', 'List', 'https', ':', '//t.co/HWjQ3h9w9S'];68;13;False;False;False;0;False;0.22058823529411764;False;False;2318;54221;10360;10726;False;True;False;0.0
854327900836954112;['@', 'Groupon', 'waiting', 'garden', 'furniture', 'almost', 'month', '!', 'Awful', 'customer', 'service', 'call', '.', 'want', 'refund', 'asap', '!'];133;17;False;True;True;0;True;0.03007518796992481;False;False;2545;154;81;242;False;False;False;0.0
854328945193263104;['$', '10', 'Target', 'eGift', 'Card', '$', '5', '(', 'Groupon', ')', '—', 'Invite', 'YMMV', 'https', ':', '//t.co/eDXCn3AXyL'];81;16;False;False;False;0;False;0.18518518518518517;False;False;2441;30932;421;48;False;True;True;0.0
854329333732790272;"['@', 'YungWildNEE', ""'s"", 'Lit', '.', 'Asked', ""'s"", 'Tickets', 'Groupon', ""'m"", 'Trying', 'See', ""'s"", 'Nice', 'Purchase', '.']";114;16;False;False;False;0;True;0.21052631578947367;False;False;2804;112548;736;560;False;True;False;0.0
854329634091040768;"['Check', 'amazing', 'offers', 'Groupon', '&', 'amp', ';', 'Wowcher', '!']";54;9;False;True;False;0;False;0.05555555555555555;False;False;284;345;93;108;False;True;True;0.0
854329953973813248;['FREESTYLE', 'BOOM-', 'GROUPON', 'SALE', '$', '24TIX', '.', 'https', ':', '//t.co/MR31C8todv'];60;10;False;False;False;0;False;0.5;False;False;1538;3382;13083;1495;False;False;True;0.0
854330009472970752;['Like', 'Bitcoin', 'Groupon', 'better', '!', 'https', ':', '//t.co/Xb3wBkzT2s', 'https', ':', '//t.co/TPyYsnLqRs'];85;11;False;True;False;0;False;0.12941176470588237;False;False;3058;409413;52894;48236;False;True;True;0.0
854330079102500864;['Like', 'Bitcoin', 'Groupon', 'better', '!', 'https', ':', '//t.co/tC82lMoreE', 'https', ':', '//t.co/MhXE2qdE2o'];85;11;False;True;False;0;False;0.11764705882352941;False;False;1031;227880;81050;79454;False;True;True;0.0
854330434536296453;['@', 'oTown92', 'gel', 'stuff', 'u', 'get', 'ur', 'dentist', '!', 'even', 'make', 'u', 'custom', 'retainers', '.', 'u', 'order', 'onlin…', 'https', ':', '//t.co/zsUIbKH1Zd'];140;21;False;True;False;0;True;0.06428571428571428;False;True;2141;376;380;269;False;False;True;0.0
854331183328526336;['GROUPON', ':', 'Deductions', 'Deals', '–', '80', '%', '(', 'Apr', '17-18', ')', 'https', ':', '//t.co/ftfr9pfaxq'];80;14;False;False;False;0;False;0.15;False;False;456;23990;2676;1856;False;True;True;0.0
854331381312245761;"['@', 'miketrudell', 'get', 'Jet', 'Talon', '(', 'Sorry', 'misspell', ')', ':', 'Youth', ""'s"", 'Straight', 'Outta', 'School', 'Tees', '-', 'https', ':', '//t.co/3AISTlidoo']";136;20;False;False;False;0;True;0.09558823529411764;False;False;1145;10057;251;191;False;True;False;0.0
854331438820450304;['Groupon', ':', '$', '10', 'Target', 'eGift', 'Card', '$', '5', '(', 'Select', 'Email', 'Subscribers', ')', 'https', ':', '//t.co/tn0XHGzIVW'];94;17;False;False;False;0;False;0.19148936170212766;False;False;2996;112288;32288;240;False;True;True;0.0
854331755901464577;['@', 'GrouponHelpUS', 'business', 'tells', 'GROUPON', 'longer', 'honor', '.', 'want', 'refund', 'immediately', '.'];105;12;False;False;False;0;True;0.11428571428571428;False;False;831;3947;58;113;False;False;False;0.0
854331806627311617;['tried', '@', 'cycledmd', '?', 'Thx', '#', 'groupon', ',', 'finished', '2nd', '5', 'classes', '#', 'silverspring…', 'https', ':', '//t.co/AtklA0PaUt'];120;17;True;False;False;0;True;0.058333333333333334;True;True;3003;5398;961;1537;False;True;True;0.0
854331820099371009;['#', 'Mens', '#', 'Vintage', '#', 'Cargo', 'Utility', '#', 'Shorts', '#', 'Belt', '.', '#', 'Groupon', 'price', ':', '$', '14.99', '.', 'ShopHere', ':', 'https', ':', '//t.co/M54Jzy9YtM…', 'https', ':', '//t.co/OpXhsMKwM6'];131;27;False;False;False;0;False;0.13740458015267176;True;True;1305;1776;132;114;False;True;False;0.0
854331949418250240;"['``', 'staff', 'super', 'friendly', ',', 'beers', 'excellent', '.', ""'re"", 'unique', 'brewery', 'cool', '...', ""''"", '@', 'Groupon', '#', 'HappyCustomer']";140;18;False;False;False;0;True;0.03571428571428571;True;False;1038;1190;919;1352;False;True;True;0.0
854332104120950785;"['``', 'Great', 'food', ',', 'beer', 'dog', 'friendly', '!', '!', ""''"", '@', 'Groupon', '#', 'HappyCustomer']";61;14;False;True;True;0;False;0.06557377049180328;True;False;1038;1191;919;1352;False;True;True;0.0
854332190175506432;['GROUPON', ':', 'Deductions', 'Deals', '–', '80', '%', '(', 'Apr', '17-18', ')', 'https', ':', '//t.co/45t5tJsH3s'];80;14;False;False;False;0;False;0.175;False;False;457;30026;4850;5336;False;True;True;0.0
854332455670632449;['Part', 'Equity', 'Allocation', '?', '-', 'Groupon', ',', 'Inc.', '(', 'GRPN', ')', ',', 'Globalstar', ',', 'Inc.', '(', 'GSAT', ')', 'https', ':', '//t.co/FZSTiP5Iqt'];119;21;True;False;False;0;False;0.2184873949579832;False;False;2318;54222;10360;10726;False;True;False;0.0
854332644015734784;['Coffee', 'House', '@', '38', '%', '–', 'Surat', 'Nearbuy', 'Groupon', 'Discount', ':', 'Coffee', 'House', '@', '38', '%', '–', 'Surat…', 'https', ':', '//t.co/KULeRQPEBG', '#', 'Deals', '#', 'Coupons'];136;25;False;False;False;0;False;0.16176470588235295;True;False;877;31045;136;220;False;True;True;0.0
854332646167420932;['Dezire', 'Sugarless', 'Delights', '@', '7', '%', '–', 'India', 'Nearbuy', 'Groupon', 'Discount', ':', 'Dezire', 'Sugarless', 'Delights…', 'https', ':', '//t.co/EtjhrO6Vmc', '#', 'Deals', '#', 'Coupons'];139;22;False;False;False;0;False;0.11510791366906475;True;False;877;31046;136;220;False;True;True;0.0
