;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper;has_hashtag;urls;senitment;senitment_conf;reg_age;status_cnt;followers_cnt;friends_cnt;verified;has_desc;has_url;retweet_count
854332094901657600;['alibaba', 'website', ',', 'welcome', 'click', 'find', 'items', 'want', ':', 'https', ':', '//t.co/gTtyeNzHKD', 'email', ':', 'lisa.mm712', '@', 'gmail.com'];127;17;False;False;False;0.0;True;0.03937007874015748;False;False;pos;1.0;1084;284;40;154;False;True;True;0.0
854332188099215361;['#', 'Alibaba', '-', 'Backed', 'Best', '#', 'Logistics', 'Gears', '$', '1B', 'IPO', 'https', ':', '//t.co/gIHV6kGR3p', 'https', ':', '//t.co/EAkHckutkR'];102;17;False;False;False;0.0;False;0.18627450980392157;True;False;neg;1.0;1163;6732;562;85;False;True;True;0.0
854332461924405249;['Alibaba', 'Group', 'Holding', 'Ltd', '$', 'BABA', 'Shares', 'Sold', 'Holdings', 'Securities', 'Inc.', 'https', ':', '//t.co/cQjSMjQLZC'];97;14;False;False;False;0.0;False;0.21649484536082475;False;False;neg;1.0;2802;665041;4984;2811;False;True;True;0.0
854332533558964224;['3Novices', ':', 'Top', '10', 'Companies', 'Behind', '2017', 'Midas', 'List', 'https', ':', '//t.co/tA2spmzQlQ', 'Top', '10', 'Companies', 'Behind', '2017', 'Midas', 'List', ':', 'Alibaba', ',', 'Uber', ',', 'F…'];139;25;False;False;False;0.0;False;0.1366906474820144;False;False;neg;1.0;993;1224440;823;1124;False;True;True;0.0
854348051087065089;['Alibaba-backed', 'Hema', 'cuts', '80', '%', 'courier', 'jobs', 'Beijing', 'indefinite', 'delay', '1st', 'Beijing', 'store', 'opening'];108;14;False;False;False;0.0;False;0.037037037037037035;False;False;neg;1.0;1982;5050;768;3157;False;True;True;0.0
854348085090066437;"['Buy', 'Alibaba', '6', 'Chinese', 'Internet', 'Stocks', '-', 'Barron', ""'s"", '(', 'blog', ')', 'https', ':', '//t.co/byrQwKRRyf', 'https', ':', '//t.co/Y2sQMEnUYX']";123;18;False;False;False;0.0;False;0.17073170731707318;False;False;neg;1.0;143;5918;320;540;False;True;False;0.0
854348404658495488;['Chaired', 'high-level', 'interaction', 'Michael', 'Evans', ',', 'President', 'Alibaba', 'International', '@', 'FinMinistryPak', ',', '@', 'investinpak', ',', 'Presidents', 'private', 'banks'];138;18;False;False;False;0.0;False;0.07246376811594203;False;False;neg;0.8;2718;40806;190924;1084;False;True;True;8.0
854348962245095425;['Alibaba’s', 'Ant', 'Financial', 'develop', 'services', 'Indonesia', 'global', 'expansion', 'continues', '#', 'NewYork', '#', 'NY', '#', 'NYC', '#', 'news…', 'https', ':', '//t.co/laHDwOUgQG'];136;20;False;False;False;0.0;False;0.125;True;True;neg;1.0;69;329;25;56;False;True;True;0.0
854348968955871234;"['Alibaba', 'Group’s', 'Alipay', 'expanded', 'Italy', 'support', 'domestic', 'luxury', 'brands', 'catering', 'China', ""'s"", 'wealthy', 'tourists', ':', 'https', ':', '//t.co/h6WwPctaMJ']";140;18;False;False;False;0.0;False;0.06428571428571428;False;False;neg;1.0;2937;30304;14669;4018;False;True;True;1.0
854349126414118912;"['[', 'Insight', ']', 'Alibaba’s', 'New', 'Retail', 'Integrates', 'E-Commerce', ',', 'Stores', ',', '&', 'amp', ';', 'Logistics', ':', 'https', ':', '//t.co/6tEwd4uoDs', 'https', ':', '//t.co/L0Mf2sbibp']";138;22;False;False;False;0.0;False;0.11594202898550725;False;False;pos;1.0;2177;74;6;8;False;False;True;0.0
854349380844957698;['!', '!', 'Alibaba', 'IOC', 'deal', 'NOTHING', 'Ali-', 'sport', 'OCA', 'agreement', '.', 'Repeat', 'Nothing', '.', 'sure', 'alib…', 'https', ':', '//t.co/J17JhlbtD6'];140;19;False;True;True;0.0;False;0.17142857142857143;False;True;neg;0.8;1893;5939;7949;460;False;True;True;0.0
854349721728503808;['discussion', '40', 'Chor', '?', '?', 'https', ':', '//t.co/Hh3yQLhTSN'];51;8;True;False;True;0.0;False;0.1568627450980392;False;True;neg;1.0;2806;565;589;199;False;True;False;0.0
854350080769392640;['View', 'product', 'Alibaba:2017', 'Fashion', 'Waterproof', 'New', 'Design', 'Hot', 'Sale', 'satchel', 'https', ':', '//t.co/7QKwwQFLP9'];99;13;False;False;False;0.0;False;0.1414141414141414;False;False;neg;1.0;259;70;78;189;False;True;True;0.0
854351370320728064;['#', 'Alibaba', 'Officials', 'visit', 'could', 'get', '$', '400', 'million', 'investment', '#', 'Pakistan', '.', '#', 'China', 'https', ':', '//t.co/8QfWLGVfUW'];103;18;False;False;False;0.0;False;0.10679611650485436;True;False;neg;1.0;3020;11669;948;197;False;True;True;2.0
854351807384092672;"['#', 'Alibaba', 'poised', 'Strong', 'growth', '&', 'amp', ';', 'continued', 'success', 'https', ':', '//t.co/YWDMnl9ZA3']";81;13;False;False;False;0.0;False;0.09876543209876543;True;False;pos;0.6;46;71540;7490;6701;False;True;False;0.0
854352248012460033;"['``', 'alibaba', 'woman', ""'d"", 'probably', 'face', 'like', 'arba', ""'s"", ""''"", 'NOBODY', 'ARBA', 'FACE', 'LIKE', 'ARBA']";100;15;False;False;False;0.0;True;0.29;False;False;neg;0.8;404;10861;26;28;False;True;True;0.0
854352345953652738;['lines', 'gon', 'na', 'generate', 'alibaba', 'gesugao', 'feel'];55;7;False;False;False;0.0;True;0.0;False;False;neg;1.0;404;10862;26;28;False;True;True;0.0
854352440359038976;['Buy', 'Alibaba', '6', 'Chinese', 'Internet', 'Stocks', 'https', ':', '//t.co/yHc6gwfA7f'];81;9;False;False;False;0.0;False;0.13580246913580246;False;False;neg;1.0;2383;336022;1319;539;False;True;True;0.0
