id;words;len_characters;num_words;has_question_mark;has_exclamation_mark;has_multi_quest_exclam;emotji_sent_score;has_pronoun;count_upper
851801315869155330;"['entered', 'giveaway', 'chance', 'win', '``', 'Gaming', 'Headset', 'PS4', '3.5mm', 'PC', 'Game', 'Stereo', 'Hea', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/IxB0LMJoqF', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.17142857142857143
851801316036927489;['Check', 'Great', 'Deal', 'Grill', 'Master', 'Gloves', '!', '!', '!', 'https', ':', '//t.co/pxk7QnEwsb', 'Use', 'GET50PRO', 'Save', '50', '%', '#', 'amazingdeals', 'https', ':', '//t.co/VwPFGISEvl', '#', 'Ad'];134;24;False;True;True;0.0;False;0.1865671641791045
851801315953037312;"['entered', 'giveaway', 'chance', 'win', '``', 'Changeable', 'Charm', 'Cool', 'UFO', '360°Rotating', 'Body', '...', ""''"", 'Changeable', '.', 'https', ':', '//t.co/cXYm3ukGgb', '#', 'giveaway']";140;20;False;False;False;0.0;True;0.1
851801318972956672;"['like', 'let', 'know', ""'s"", 'Amazon', 'right', '.', ""'m"", 'waiting', 'website', ""'ll"", 'inform', 'thanks', 'Sam']";121;14;False;False;False;0.0;True;0.04132231404958678
851801322630336512;['Many', '#', 'DogOwners', 'Use', '#', 'Dog', '#', 'Doorbell', '#', 'Potty', '#', 'Train', '?', '?', 'https', ':', '//t.co/CJIcENo8eT', '?', 'https', ':', '//t.co/V7IfAVCs0u', 'https', ':', '//t.co/43lo9TL5A1', '#', 'giveaway'];140;26;False;False;False;0.0;False;0.16428571428571428
851801324232552452;"['entered', '#', 'win', '$', '125', 'Amazon', '@', 'poshonabudget', '#', 'giveaway', '&', 'gt', ';', 'https', ':', '//t.co/NkAFlD0w3E']";92;16;False;False;False;0.0;True;0.07608695652173914
851801324664442880;['nationalize', 'amazon', ',', 'big', 'win', 'need'];53;6;False;False;False;0.0;True;0.0
851801327906635778;['Enter', 'win', '$', '500', 'Amazon', 'Gift', 'Card', '!', '#', 'giveaway', 'https', ':', '//t.co/1HnkZgeQf6'];71;13;False;True;False;0.0;False;0.09859154929577464
851801328674381825;['See', '#', 'AmazonGiveaway', ':', 'Forensic', 'Certified', 'Public', 'Account', '...', '.', 'NoPurchNec', ':', 'https', ':', '//t.co/Qw2ZlaZIUz', 'https', ':', '//t.co/e1X6pcYdUx'];131;18;False;False;False;0.0;False;0.1450381679389313
851801328431099904;"['entered', 'giveaway', 'chance', 'win', '``', 'Gaming', 'Headset', 'PS4', '3.5mm', 'PC', 'Game', 'Stereo', 'Hea', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/at9vaKIWsF', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.15714285714285714
851801337683742722;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/nF66mmmBao', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.05755395683453238
851801337302061056;['story', '#', 'Shirdi', 'Sai', 'Baba', 'Shri', 'Sai', '#', 'Satcharita', 'broken', 'Top', '100', 'Bestsellers', 'category', 'amazon…', 'https', ':', '//t.co/vsRoe0REyZ'];140;18;False;False;False;0.0;False;0.09285714285714286
851801342406426626;"['entered', 'giveaway', 'chance', 'win', '``', 'GLITZALL', 'Fashion', 'Women', 'Mini', 'Zipper', 'Bifold', 'Soft', '...', ""''"", 'GLITZALL', '.', 'https', ':', '//t.co/5DZgxLFNWk', '#', 'giveaway']";140;21;False;False;False;0.0;True;0.20714285714285716
851801341592834049;"['entered', 'giveaway', 'chance', 'win', '``', 'Kwanwa', 'Small', 'Battery', 'Operated', 'Vibrant', 'Quite', '...', ""''"", 'Kwanwa', '.', 'https', ':', '//t.co/6tySYnY8fS', '#', 'giveaway']";140;20;False;False;False;0.0;True;0.09285714285714286
851801345371787264;['@', 'Parianas', '@', 'Machiparu', '@', 'Yurimawas', 'escaping', 'slavery', 'imposed', 'Europeans', '.', 'Kokama', ',', 'says', 'Stocks', ',', 'arrived', 'lower', 'Amazon', 'around'];135;20;False;False;False;0.0;False;0.05925925925925926
851801348551176192;"['entered', 'giveaway', 'chance', 'win', '``', 'Gaming', 'Headset', 'PS4', '3.5mm', 'PC', 'Game', 'Stereo', 'Hea', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/xiQWHQrWAe', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.17142857142857143
851801350182764546;"['entered', 'giveaway', 'chance', 'win', '``', 'Cycloving', 'Powerful', 'Bike', 'Light', 'C168', '.', 'USB', 'Rechar', '...', ""''"", 'Cycloving', '.', 'https', ':', '//t.co/D3DyCDhuwe', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.10714285714285714
851801350778302465;"['entered', 'giveaway', 'chance', 'win', '``', 'Cycloving', 'Rechargeable', 'Flashlight', 'Super', 'Bright', '...', ""''"", 'Cycloving', '.', 'https', ':', '//t.co/EHQrsl3WBh', '#', 'giveaway']";140;19;False;False;False;0.0;True;0.08571428571428572
851801351159939072;"['Wow', '!', 'entered', 'chance', 'win', '``', 'Bluetooth', 'Headphones', 'Ear', 'Wireless', 'Earbuds', 'wit', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/l6HVI7sTvn', '#', 'giveaway']";140;21;False;True;False;0.0;True;0.1357142857142857
851801348463095813;['Kids', 'LOVE', 'Barney', 'Lopsided', 'Mule', '!', 'Amazon', 'Bestseller', '!', 'Order', 'author', ',', 'signed', 'copy', 'today', ',', '…', 'https', ':', '//t.co/war8YwFAVf'];118;20;False;True;True;0.0;False;0.1271186440677966
851801355173974016;"['Getting', 'ready', 'launch', 'new', '#', 'ecommerce', 'biz', '?', 'tap', 'breaks', '&', 'amp', ';', 'read', '!', 'via', '@', 'Inc', '#', 'GoogleSearch', '#', 'eBay', '#', 'Amazon', 'https', ':', '//t.co/gI9avdQN9u']";141;27;True;True;False;0.0;False;0.07092198581560284
851801358193872896;"['entered', 'giveaway', 'chance', 'win', '``', 'Gaming', 'Headset', 'PS4', '3.5mm', 'PC', 'Game', 'Stereo', 'Hea', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/mniLpA4qPK', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.15714285714285714
851801361415118848;"['entered', 'giveaway', 'chance', 'win', '``', 'Bark', 'Collar', 'Dog', 'Aiblii-', 'Anti', 'Shock', 'Stop', '...', ""''"", 'aiblii', '.', 'https', ':', '//t.co/PqE4X0lqRP', '#', 'giveaway']";140;21;False;False;False;0.0;True;0.1
851801360794255361;['decision', 'came', 'late', 'Kassfinol', 'https', ':', '//t.co/UM5bAko0BJ', '#', 'kindle', '#', 'book', '#', 'romantic', '#', 'contemporary', '#', 'ebooks…', 'https', ':', '//t.co/zLW11eCLd9'];135;20;False;False;False;0.0;False;0.08148148148148149
851801371196014592;['arrived', '@', 'amazon', ',', 'eager', 'read', '.', 'Dr', 'Willie', 'Parker', 'inspiration', ',', 'pro', 'choice', 'ob/gyn', 'sister…', 'https', ':', '//t.co/13WaXFmDHs'];140;19;False;False;False;0.0;True;0.06428571428571428
851801373020651521;"['entered', 'giveaway', 'chance', 'win', '``', 'Gaming', 'Headset', 'PS4', '3.5mm', 'PC', 'Game', 'Stereo', 'Hea', '...', ""''"", 'MAGIGAGA', '.', 'https', ':', '//t.co/hRRBrnONXj', '#', 'giveaway']";140;22;False;False;False;0.0;True;0.17142857142857143
851801373293281280;['Greens', 'lose', 'another', 'loved', 'one', '?', 'Find', 'Westmore', ':', 'Aftermath', 'https', ':', '//t.co/MF8Uq4OlWD', '#', 'ASMSG', '#', 'indiebooksbeseen', '#', 'drama'];131;19;True;False;False;0.0;False;0.13740458015267176
851801376132927491;['See', '#', 'AmazonGiveaway', ':', 'Forensic', 'Certified', 'Public', 'Account', '...', '.', 'NoPurchNec', ':', 'https', ':', '//t.co/lXCiH4gbZe', 'https', ':', '//t.co/jxWhTkSIDG'];131;18;False;False;False;0.0;False;0.16030534351145037
851801376229384193;"['entered', 'giveaway', 'chance', 'win', '``', 'Stainless', 'Steel', 'Folding', 'Vegetable', 'Steamer', 'Rack', ',', '...', ""''"", 'AMFOCUS', '.', 'https', ':', '//t.co/oqamkt1Mru', '#', 'giveaway']";140;21;False;False;False;0.0;True;0.10714285714285714
851801374392279041;"['wanted', 'love', '&', 'amp', ';', 'acceptance', 'Manwhore', 'broke', 'apart', '99', 'CENTS', '!', 'https', ':', '//t.co/9MlHHQ5jFi', '#', 'LPRTG', '#', 'Spanks…', 'https', ':', '//t.co/8eg1roCC5f']";142;22;False;True;False;0.0;True;0.14788732394366197
851801377215008768;"['entered', 'giveaway', 'chance', 'win', '``', 'PREMIUM', 'Hyaluronic', 'Acid', '&', 'amp', ';', 'Vitamin', 'C', 'Serum', '...', ""''"", '180', 'Cosmetics', '.', 'https', ':', '//t.co/Tk1yBO7D4y', '#', 'giveaway']";144;24;False;False;False;0.0;True;0.125
851801377382813696;['Ghosts', 'Living', '-', 'new', 'Paranormal', 'Eyewitness', 'Kindle', 'short', 'G.', 'Michael', 'Vasey', '...', '...', '.', 'https', ':', '//t.co/FmIw35R0mD', 'https', ':', '//t.co/vbuCf13U5w'];140;20;False;False;False;0.0;False;0.1
851801382457937921;"['entered', 'giveaway', 'chance', 'win', '``', 'GLITZALL', 'Fashion', 'Women', 'Mini', 'Zipper', 'Bifold', 'Soft', '...', ""''"", 'GLITZALL', '.', 'https', ':', '//t.co/sS2NJXpg8q', '#', 'giveaway']";140;21;False;False;False;0.0;True;0.19285714285714287
851801383678476290;['#', 'kidlit', '@', 'DonnaLPeterson1’s', 'MISADVENTURES', 'PIP', 'https', ':', '//t.co/s5PBJgES1Z', '#', 'childrensbooks', '#', 'BookBoost', '#', 'IARTG', '#', 'RT', 'https', ':', '//t.co/KLG9fqtHPe'];137;20;False;False;False;0.0;False;0.32116788321167883
851801385402290177;"['entered', 'giveaway', 'chance', 'win', '``', 'Kwanwa', 'Small', 'Battery', 'Operated', 'Vibrant', 'Quite', '...', ""''"", 'Kwanwa', '.', 'https', ':', '//t.co/FVL2dkiAsn', '#', 'giveaway']";140;20;False;False;False;0.0;True;0.09285714285714286
851801387319078912;['Awesome', 'Deal', 'Grill', 'Master', 'Gloves', '(', 'Black', ')', '!', '!', '!', 'https', ':', '//t.co/pxk7QnEwsb', 'Use', 'GET50PRO', 'Save', '50', '%', '#', 'amazingdeals', 'https', ':', '//t.co/X3pc1fHNYY', '#', 'Ad'];134;26;False;True;True;0.0;False;0.16417910447761194
851801389265276928;"[""N'T"", 'MISS', '$', '125', 'AMAZON', '#', 'giveaway', '&', 'gt', ';', '@', 'poshonabudgethttp', ':', '//bit.ly/2ocWKFG']";85;14;False;False;False;0.0;False;0.25882352941176473
851801388954914816;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/LVQJIgwSVr', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.09352517985611511
851801390418669570;['Get', 'Mona', 'Lisa', 'Multi', 'Gem', 'Bracelet', '50', '%', 'Click', 'https', ':', '//t.co/QONEHcJ0OV', 'Enter', 'code', '25FU5HTU', 'https', ':', '//t.co/erhNbGmcBY', '#', 'giveaway'];134;20;False;False;False;0.0;False;0.19402985074626866
851801394138853376;"[""'m"", 'running', 'win', 'Amazon', 'Gift', 'Card', '!', '!', 'want', 'win', ',', 'Enter', '!', '!', 'Please', 'Retweet', '!', '!', 'https', ':', '//t.co/qcQNoLhggM']";119;21;False;True;True;0.0;True;0.10084033613445378
851801394176774149;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/INS32Vccn5', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.07194244604316546
851801396328484864;['Check', 'Fantastic', 'Deal', 'Endurance', 'Pro', '!', '!', '!', 'https', ':', '//t.co/eJb8mXbJ9m', 'Use', 'GET50EPR', 'Save', '50', '%', '#', 'amazingdeals', 'https', ':', '//t.co/tQuSZtXo3U', '#', 'giveaway'];138;23;False;True;True;0.0;False;0.16666666666666666
851801396856975360;"['Wow', '!', 'entered', 'chance', 'win', '``', 'Humanity', ""''"", 'Tony', 'Garcia', '(', 'Author', ')', ',', 'Alex', 'Johnson', '(', 'Editor', ')', '.', 'https', ':', '//t.co/RvNHbgyLKr', '#', 'giveaway']";132;25;False;True;False;0.0;True;0.10606060606060606
851801397804838913;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/d7bqGtAYPD', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.07913669064748201
851801407065907201;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/PmcMBN9mzh', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.07194244604316546
851801407892180992;['Lighting', 'deal', '-35', '%', 'two', 'tone', 'silver', 'necklace', 'opened', '(', 'Apr', '11', '4:45', 'AM-10:45', ')', ',', '6', 'hrs', '!', 'https', ':', '//t.co/lM4ma1dEiW', '#', 'giveaway'];139;24;False;True;False;0.0;False;0.06474820143884892
851801417639768065;"['entered', 'giveaway', 'chance', 'win', '``', 'Kwanwa', 'Small', 'Battery', 'Operated', 'Vibrant', 'Quite', '...', ""''"", 'Kwanwa', '.', 'https', ':', '//t.co/tr9PtDwvGJ', '#', 'giveaway']";140;20;False;False;False;0.0;True;0.09285714285714286
