;AL;AK;AZ;AR;CA;CO;CT;DE;FL;GA;HI;ID;IL;IN;IA;KS;KY;LA;ME;MD;MA;MI;MN;MS;MO;MT;NE;NV;NH;NJ;NM;NY;NC;ND;OH;OK;OR;PA;RI;SC;SD;TN;TX;UT;VT;VA;WA;WV;WI;WY;M30;Unemployment Rate;GDP;sp500
HI;0.9449415015468906;0.9480977532849653;0.919028151429992;0.9519844093257758;0.9526010863930655;0.9298033112030172;0.9134710446306791;0.9638562840082258;0.920167618996356;0.9062655916147113;1.0;0.9589546815008674;0.9172919041803644;0.9098632353974057;0.9386018010370059;0.9389630127768877;0.9423358976868017;0.9466704956181928;0.9592764000631947;0.9678334185071195;0.9351719713381729;0.7879670469416998;0.9227906602027505;0.9454271136642339;0.9348516493995426;0.9668442099594396;0.9328575413669116;0.8421698053693201;0.9203200543911536;0.9465873445559998;0.9526190993719992;0.9612984309358;0.9441088730973232;0.9428530317532938;0.8747114195322168;0.9234499139630254;0.9602771110060492;0.9736293235970108;0.9317187050188165;0.9501757052330481;0.9591221960042094;0.9543722331509763;0.9385871670665613;0.9454188472363465;0.9749576456350141;0.9754553634244566;0.9714602053969245;0.9615550934607879;0.9266163858634769;0.9520550500563673;-0.8566742312887295;-0.18507267762014032;0.7638825467182241;0.8807698178989761
ID;0.9828774998151627;0.954476105192132;0.9658510464021327;0.980812874544907;0.9557377342143977;0.9626873536323751;0.9162042611085096;0.9705954468342135;0.9549180717412011;0.9613618048589397;0.9589546815008674;1.0;0.9671750912038451;0.9543292513112723;0.9733295376641765;0.9747400791280041;0.9725901509794227;0.9709371132209637;0.9567037211481539;0.9721409649150039;0.9447808806490321;0.871464225928918;0.9687253134431162;0.9828192808330078;0.9754621880339771;0.9833809300039184;0.9693832973844525;0.9000299327186168;0.934460570281397;0.9544951171889453;0.9855481313416726;0.9568384631608897;0.9773986022248851;0.9144455541722606;0.9347543496269314;0.9487699608631412;0.9949352148590039;0.9705095218721121;0.936875230413093;0.982888162552634;0.9703824948137163;0.9808932536991737;0.9425787572049903;0.9902475200561717;0.9630839108866609;0.9750340039819685;0.9950375404949642;0.9783427549711343;0.9761564331347771;0.9645826657044912;-0.7965007102708171;-0.2990489506332363;0.64348396652339;0.9106527689150813
IL;0.983793886375383;0.900591461547465;0.9473302899351296;0.9712392783560204;0.9533307347368514;0.93670735062118;0.958491206999289;0.9793741016929115;0.9498368366205456;0.9833070096949781;0.9172919041803644;0.9671750912038451;1.0;0.9747595580197936;0.9641765877566201;0.9657067869274311;0.9753391998314469;0.9262658424356643;0.9692648570730108;0.9698303154114236;0.9677227259443969;0.9389263202022992;0.9841683142307944;0.9738347644413101;0.9892168235052197;0.940326249266673;0.9623699040311173;0.9213269414829953;0.9655442383250847;0.9736688766897549;0.9707066402948497;0.9662370077617216;0.9796434363929983;0.8375713189268202;0.978193725060314;0.9005380354220948;0.9588451862926599;0.9704513935605701;0.972770579891431;0.9817107070766596;0.9383436156383523;0.9683770086630784;0.886564949942902;0.9467686757940068;0.9593977772531889;0.9646905722420542;0.9679621211075017;0.9516637383656025;0.9914814392052931;0.905802301316368;-0.7434901439984278;-0.3659491795137615;0.4644906585573276;0.8733332862890303
IN;0.9840804888178778;0.9054100182949586;0.9009374327556043;0.9776555826618215;0.9157674242378813;0.960172438221038;0.9221054900455082;0.9496918134546233;0.8933350524936365;0.9778147667451413;0.9098632353974057;0.9543292513112723;0.9747595580197936;1.0;0.9820055808142802;0.9797299818918624;0.9915050297279493;0.9335757818671446;0.9491723840679562;0.9297646355623904;0.9535886458160562;0.9505714996981337;0.9648739054580734;0.975968279780964;0.98447583742662;0.9420961017189411;0.9880571300811031;0.8557192246903427;0.9341117209143814;0.9355434372816007;0.9619011687808563;0.9480777074823751;0.9873195144858723;0.8766661188085046;0.9928467322756461;0.9192287844332545;0.9525778846905778;0.9620269509437308;0.9272023612535405;0.9821383325990057;0.9602967101114364;0.9825426573602987;0.9166990868631327;0.9582290668982942;0.9479516586678722;0.9396260529615509;0.9588777663961725;0.9632057562943201;0.9845847431349275;0.9048742964794634;-0.7962482904995778;-0.3925411499445536;0.6090422386502466;0.9260049714889101
IA;0.9855162462065852;0.9551731461960654;0.9140605497079517;0.9898675845412964;0.9317757560376263;0.9845365341540238;0.9094593950061186;0.9578191852799148;0.9064334750101513;0.9585275627018974;0.9386018010370059;0.9733295376641765;0.9641765877566201;0.9820055808142802;1.0;0.9953779560110777;0.9949819658359317;0.9752730152206561;0.959363394795357;0.9497505274746495;0.9574160592109067;0.9000743150841943;0.9750591872489556;0.9882221215888651;0.9838715488750112;0.9828338117740675;0.9958782316361842;0.838326491320322;0.9357329206157663;0.9438463117105184;0.9748485045918293;0.9575498687134947;0.9848818146832691;0.934504783022485;0.9599343706305415;0.9600616002908512;0.9813809175482926;0.9724036784792305;0.9252988225678888;0.9856660259145226;0.9909039011481436;0.9902726290362875;0.9532416816823409;0.9836700334465467;0.9668688031798605;0.9640697070225555;0.9803427953763657;0.992216217171809;0.9884474345471344;0.9636380049348412;-0.8582892531922341;-0.28878633687626537;0.7338273822410276;0.9423819743517324
KS;0.9895299877457283;0.9652617305043403;0.9276711011706962;0.9952430379505429;0.9422752177671704;0.9882019445503444;0.9277474570244457;0.965085266569314;0.919377635577327;0.9693072747925008;0.9389630127768877;0.9747400791280041;0.9657067869274311;0.9797299818918624;0.9953779560110777;1.0;0.9951345361880428;0.9833629843078934;0.9696603384789092;0.9569966793191902;0.9709919292740711;0.8980293016859814;0.9812656121245944;0.9934700049008636;0.9903761771810349;0.9826656918275525;0.9964568853953382;0.8507542026936404;0.9538211978588145;0.956098990066375;0.9811081298824951;0.9685705126846389;0.9896888820848583;0.9354758356078573;0.9580769024363381;0.9728201577861018;0.9795076982940388;0.9770299556133752;0.9376792947087351;0.9918454242366206;0.9900396195861187;0.9948066892058305;0.9673189129184883;0.9836216264688746;0.9724441080855242;0.9711740319321716;0.9814926529285233;0.9902140141217648;0.9864483423729993;0.9650912339620592;-0.8403217146592006;-0.2775935632421011;0.7135408721304128;0.9371917232790168
KY;0.9943323942977783;0.947498738818862;0.9188661614154103;0.9942520881787963;0.9372107810764695;0.9776538299627873;0.9367756080557519;0.9709339160355527;0.9126128224712428;0.973879081200446;0.9423358976868017;0.9725901509794227;0.9753391998314469;0.9915050297279493;0.9949819658359317;0.9951345361880428;1.0;0.9673164249854438;0.9723821282874041;0.9571945363015788;0.9710225061665433;0.9146372046119655;0.9767550734901758;0.9927686167182619;0.9922097795526944;0.9743911401438732;0.9962101830937354;0.8518045004869457;0.9527104774466532;0.9588462461878409;0.9816052653358796;0.9720380727454474;0.9957597180010567;0.9195507293287275;0.9741004856125348;0.9518359580762368;0.9746570903684159;0.9831421515776992;0.943635035761408;0.9944530782065046;0.9855036324183575;0.9959737613162696;0.9485301826565283;0.977716524760484;0.9756926249341084;0.9689666211860449;0.9797702657303845;0.9869295247175712;0.9911744677580006;0.9480590855328365;-0.8390779425543249;-0.31281783538015656;0.7164234546238749;0.9340927873330954
LA;0.9667042236876524;0.9925913738951566;0.9256829086996512;0.9825645688018773;0.9318077677037578;0.975128416681202;0.896371970994234;0.9490145736855219;0.9136649811780189;0.9270789676346237;0.9466704956181928;0.9709371132209637;0.9262658424356643;0.9335757818671446;0.9752730152206561;0.9833629843078934;0.9673164249854438;1.0;0.9504415131448258;0.9522531610900905;0.9426027943303877;0.816418540432231;0.9556571360560737;0.9801916421754586;0.9610917510338542;0.9908645153941058;0.9732598024500909;0.8247310703694027;0.9263665395991946;0.9387659260710137;0.9761743684728437;0.9514185680956649;0.9624283084219714;0.9586466826396705;0.8977253993652919;0.9934344467400725;0.976443762468262;0.9616513855457943;0.9088642614531683;0.9703052127142531;0.9849290235384914;0.9754745759881109;0.9812355748691947;0.9817079031352622;0.9630373045446108;0.968204991392456;0.9746260201031262;0.9864202774287072;0.9553307589815044;0.9915345582075467;-0.8431406896315947;-0.15101853163093612;0.7982223925437041;0.915321119880938
ME;0.9770750359967258;0.9415237911169437;0.937078897882664;0.9773124602503688;0.9683632523289433;0.9457251625987613;0.9827658155150306;0.9935686477749129;0.9431581583975658;0.9599766639127181;0.9592764000631947;0.9567037211481539;0.9692648570730108;0.9491723840679562;0.959363394795357;0.9696603384789092;0.9723821282874041;0.9504415131448258;1.0;0.9874382671821146;0.9932097265631805;0.8673387226192781;0.972995814264467;0.975410125093743;0.9809471446603177;0.9604327296041182;0.9575622040835208;0.8746762830304854;0.9898453318139702;0.994766990253391;0.9723055166896715;0.9988678166535611;0.977371103347658;0.9034713227960772;0.932356879475193;0.9270173148409219;0.9555646578000788;0.9931999146923542;0.9871370082240973;0.9814153445458526;0.9615291861056542;0.9757850895217804;0.9306579293682158;0.9430951864567633;0.9942720769598904;0.9912832931925032;0.9705188931354827;0.9655583833877875;0.9686616958691457;0.9369099701937241;-0.8217955866247182;-0.26802457033727567;0.6785311348352151;0.8791138794295639
MD;0.9700656917425361;0.945205962649782;0.9654465204231852;0.9700934251700165;0.980561775918164;0.9322505347655536;0.967010156576962;0.9943529956283755;0.971170704398501;0.948058266946489;0.9678334185071195;0.9721409649150039;0.9698303154114236;0.9297646355623904;0.9497505274746495;0.9569966793191902;0.9571945363015788;0.9522531610900905;0.9874382671821146;1.0;0.9727113482574125;0.8477313218470622;0.9711496547508199;0.9690306551791301;0.9710207785204783;0.9651478573493228;0.9430645199297977;0.9112597636196718;0.9737874550188781;0.9919830553832798;0.9763699113232104;0.986202292856475;0.9635249673107997;0.8918561687459718;0.9141223670420028;0.9245218643715052;0.9672062091186182;0.9856284207109415;0.9838201636992582;0.9723871204088242;0.9499507635353795;0.963028243238079;0.9166152018393989;0.9476327730893691;0.9863330912397958;0.9965785464281302;0.9776805626368459;0.9623756738090083;0.9651513609653;0.9478199713234319;-0.7930131034287996;-0.24438717561460996;0.6399861430138748;0.8603766023227095
