"";"Native";"Bytes";"Description"
"324";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E39>";"\xF0\x9F\x8C\x89";"BRIDGE AT NIGHT"
"325";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E61>";"\xF0\x9F\x8C\x8A";"WATER WAVE"
"326";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E62>";"\xF0\x9F\x8C\x8B";"VOLCANO"
"327";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E63>";"\xF0\x9F\x8C\x8C";"MILKY WAY"
"328";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+383C><U+3E66>";"\xF0\x9F\x8C\x8F";"EARTH GLOBE ASIA-AUSTRALIA"
"329";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E31>";"\xF0\x9F\x8C\x91";"NEW MOON SYMBOL"
"330";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E33>";"\xF0\x9F\x8C\x93";"FIRST QUARTER MOON SYMBOL"
"331";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E34>";"\xF0\x9F\x8C\x94";"WAXING GIBBOUS MOON SYMBOL"
"332";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E35>";"\xF0\x9F\x8C\x95";"FULL MOON SYMBOL"
"333";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E39>";"\xF0\x9F\x8C\x99";"CRESCENT MOON"
"334";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E62>";"\xF0\x9F\x8C\x9B";"FIRST QUARTER MOON WITH FACE"
"335";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+393C><U+3E66>";"\xF0\x9F\x8C\x9F";"GLOWING STAR"
"336";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+613C><U+3E30>";"\xF0\x9F\x8C\xA0";"SHOOTING STAR"
"337";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E30>";"\xF0\x9F\x8C\xB0";"CHESTNUT"
"338";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E31>";"\xF0\x9F\x8C\xB1";"SEEDLING"
"339";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E34>";"\xF0\x9F\x8C\xB4";"PALM TREE"
"340";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E35>";"\xF0\x9F\x8C\xB5";"CACTUS"
"341";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E37>";"\xF0\x9F\x8C\xB7";"TULIP"
"342";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E38>";"\xF0\x9F\x8C\xB8";"CHERRY BLOSSOM"
"343";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E39>";"\xF0\x9F\x8C\xB9";"ROSE"
"344";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E61>";"\xF0\x9F\x8C\xBA";"HIBISCUS"
"345";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E62>";"\xF0\x9F\x8C\xBB";"SUNFLOWER"
"346";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E63>";"\xF0\x9F\x8C\xBC";"BLOSSOM"
"347";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E64>";"\xF0\x9F\x8C\xBD";"EAR OF MAIZE"
"348";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E65>";"\xF0\x9F\x8C\xBE";"EAR OF RICE"
"349";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E63><U+623C><U+3E66>";"\xF0\x9F\x8C\xBF";"HERB"
"350";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E30>";"\xF0\x9F\x8D\x80";"FOUR LEAF CLOVER"
"351";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E31>";"\xF0\x9F\x8D\x81";"MAPLE LEAF"
"352";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E32>";"\xF0\x9F\x8D\x82";"FALLEN LEAF"
"353";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E33>";"\xF0\x9F\x8D\x83";"LEAF FLUTTERING IN WIND"
"354";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E34>";"\xF0\x9F\x8D\x84";"MUSHROOM"
"355";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E35>";"\xF0\x9F\x8D\x85";"TOMATO"
"356";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E36>";"\xF0\x9F\x8D\x86";"AUBERGINE"
"357";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E37>";"\xF0\x9F\x8D\x87";"GRAPES"
"358";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E38>";"\xF0\x9F\x8D\x88";"MELON"
"359";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E39>";"\xF0\x9F\x8D\x89";"WATERMELON"
"360";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E61>";"\xF0\x9F\x8D\x8A";"TANGERINE"
"361";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E63>";"\xF0\x9F\x8D\x8C";"BANANA"
"362";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E64>";"\xF0\x9F\x8D\x8D";"PINEAPPLE"
"363";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E65>";"\xF0\x9F\x8D\x8E";"RED APPLE"
"364";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+383C><U+3E66>";"\xF0\x9F\x8D\x8F";"GREEN APPLE"
"365";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E31>";"\xF0\x9F\x8D\x91";"PEACH"
"366";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E32>";"\xF0\x9F\x8D\x92";"CHERRIES"
"367";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E33>";"\xF0\x9F\x8D\x93";"STRAWBERRY"
"368";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E34>";"\xF0\x9F\x8D\x94";"HAMBURGER"
"369";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E35>";"\xF0\x9F\x8D\x95";"SLICE OF PIZZA"
"370";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E36>";"\xF0\x9F\x8D\x96";"MEAT ON BONE"
"371";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E37>";"\xF0\x9F\x8D\x97";"POULTRY LEG"
"372";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E38>";"\xF0\x9F\x8D\x98";"RICE CRACKER"
"373";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E39>";"\xF0\x9F\x8D\x99";"RICE BALL"
"374";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E61>";"\xF0\x9F\x8D\x9A";"COOKED RICE"
"375";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E62>";"\xF0\x9F\x8D\x9B";"CURRY AND RICE"
"376";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E63>";"\xF0\x9F\x8D\x9C";"STEAMING BOWL"
"377";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E64>";"\xF0\x9F\x8D\x9D";"SPAGHETTI"
"378";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E65>";"\xF0\x9F\x8D\x9E";"BREAD"
"379";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+393C><U+3E66>";"\xF0\x9F\x8D\x9F";"FRENCH FRIES"
"380";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E30>";"\xF0\x9F\x8D\xA0";"ROASTED SWEET POTATO"
"381";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E31>";"\xF0\x9F\x8D\xA1";"DANGO"
"382";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E32>";"\xF0\x9F\x8D\xA2";"ODEN"
"383";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E33>";"\xF0\x9F\x8D\xA3";"SUSHI"
"384";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E34>";"\xF0\x9F\x8D\xA4";"FRIED SHRIMP"
"385";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E35>";"\xF0\x9F\x8D\xA5";"FISH CAKE WITH SWIRL DESIGN"
"386";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E36>";"\xF0\x9F\x8D\xA6";"SOFT ICE CREAM"
"387";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E37>";"\xF0\x9F\x8D\xA7";"SHAVED ICE"
"388";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E38>";"\xF0\x9F\x8D\xA8";"ICE CREAM"
"389";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E39>";"\xF0\x9F\x8D\xA9";"DOUGHNUT"
"390";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E61>";"\xF0\x9F\x8D\xAA";"COOKIE"
"391";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E62>";"\xF0\x9F\x8D\xAB";"CHOCOLATE BAR"
"392";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E63>";"\xF0\x9F\x8D\xAC";"CANDY"
"393";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E64>";"\xF0\x9F\x8D\xAD";"LOLLIPOP"
"394";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E65>";"\xF0\x9F\x8D\xAE";"CUSTARD"
"395";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+613C><U+3E66>";"\xF0\x9F\x8D\xAF";"HONEY POT"
"396";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E30>";"\xF0\x9F\x8D\xB0";"SHORTCAKE"
"397";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E31>";"\xF0\x9F\x8D\xB1";"BENTO BOX"
"398";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E32>";"\xF0\x9F\x8D\xB2";"POT OF FOOD"
"399";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E33>";"\xF0\x9F\x8D\xB3";"COOKING"
"400";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E34>";"\xF0\x9F\x8D\xB4";"FORK AND KNIFE"
"401";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E35>";"\xF0\x9F\x8D\xB5";"TEACUP WITHOUT HANDLE"
"402";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E36>";"\xF0\x9F\x8D\xB6";"SAKE BOTTLE AND CUP"
"403";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E37>";"\xF0\x9F\x8D\xB7";"WINE GLASS"
"404";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E38>";"\xF0\x9F\x8D\xB8";"COCKTAIL GLASS"
"405";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E39>";"\xF0\x9F\x8D\xB9";"TROPICAL DRINK"
"406";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E61>";"\xF0\x9F\x8D\xBA";"BEER MUG"
"407";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E64><U+623C><U+3E62>";"\xF0\x9F\x8D\xBB";"CLINKING BEER MUGS"
"408";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E30>";"\xF0\x9F\x8E\x80";"RIBBON"
"409";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E31>";"\xF0\x9F\x8E\x81";"WRAPPED PRESENT"
"410";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E32>";"\xF0\x9F\x8E\x82";"BIRTHDAY CAKE"
"411";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E33>";"\xF0\x9F\x8E\x83";"JACK-O-LANTERN"
"412";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E34>";"\xF0\x9F\x8E\x84";"CHRISTMAS TREE"
"413";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E35>";"\xF0\x9F\x8E\x85";"FATHER CHRISTMAS"
"414";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E36>";"\xF0\x9F\x8E\x86";"FIREWORKS"
"415";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E37>";"\xF0\x9F\x8E\x87";"FIREWORK SPARKLER"
"416";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E38>";"\xF0\x9F\x8E\x88";"BALLOON"
"417";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E39>";"\xF0\x9F\x8E\x89";"PARTY POPPER"
"418";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E61>";"\xF0\x9F\x8E\x8A";"CONFETTI BALL"
"419";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E62>";"\xF0\x9F\x8E\x8B";"TANABATA TREE"
"420";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E63>";"\xF0\x9F\x8E\x8C";"CROSSED FLAGS"
"421";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E64>";"\xF0\x9F\x8E\x8D";"PINE DECORATION"
"422";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E65>";"\xF0\x9F\x8E\x8E";"JAPANESE DOLLS"
"423";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E66>";"\xF0\x9F\x8E\x8F";"CARP STREAMER"
"424";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E30>";"\xF0\x9F\x8E\x90";"WIND CHIME"
"425";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E31>";"\xF0\x9F\x8E\x91";"MOON VIEWING CEREMONY"
"426";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E32>";"\xF0\x9F\x8E\x92";"SCHOOL SATCHEL"
"427";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+393C><U+3E33>";"\xF0\x9F\x8E\x93";"GRADUATION CAP"
"428";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E30>";"\xF0\x9F\x8E\xA0";"CAROUSEL HORSE"
"429";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E31>";"\xF0\x9F\x8E\xA1";"FERRIS WHEEL"
"430";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E32>";"\xF0\x9F\x8E\xA2";"ROLLER COASTER"
"431";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E33>";"\xF0\x9F\x8E\xA3";"FISHING POLE AND FISH"
"432";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E34>";"\xF0\x9F\x8E\xA4";"MICROPHONE"
"433";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E35>";"\xF0\x9F\x8E\xA5";"MOVIE CAMERA"
"434";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E36>";"\xF0\x9F\x8E\xA6";"CINEMA"
"435";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E37>";"\xF0\x9F\x8E\xA7";"HEADPHONE"
"436";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E38>";"\xF0\x9F\x8E\xA8";"ARTIST PALETTE"
"437";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E39>";"\xF0\x9F\x8E\xA9";"TOP HAT"
"438";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E61>";"\xF0\x9F\x8E\xAA";"CIRCUS TENT"
"439";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E62>";"\xF0\x9F\x8E\xAB";"TICKET"
"440";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E63>";"\xF0\x9F\x8E\xAC";"CLAPPER BOARD"
"441";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E64>";"\xF0\x9F\x8E\xAD";"PERFORMING ARTS"
"442";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E65>";"\xF0\x9F\x8E\xAE";"VIDEO GAME"
"443";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+613C><U+3E66>";"\xF0\x9F\x8E\xAF";"DIRECT HIT"
"444";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E30>";"\xF0\x9F\x8E\xB0";"SLOT MACHINE"
"445";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E31>";"\xF0\x9F\x8E\xB1";"BILLIARDS"
"446";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E32>";"\xF0\x9F\x8E\xB2";"GAME DIE"
"447";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E33>";"\xF0\x9F\x8E\xB3";"BOWLING"
"448";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E34>";"\xF0\x9F\x8E\xB4";"FLOWER PLAYING CARDS"
"449";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E35>";"\xF0\x9F\x8E\xB5";"MUSICAL NOTE"
"450";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E36>";"\xF0\x9F\x8E\xB6";"MULTIPLE MUSICAL NOTES"
"451";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E37>";"\xF0\x9F\x8E\xB7";"SAXOPHONE"
"452";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E38>";"\xF0\x9F\x8E\xB8";"GUITAR"
"453";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E39>";"\xF0\x9F\x8E\xB9";"MUSICAL KEYBOARD"
"454";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E61>";"\xF0\x9F\x8E\xBA";"TRUMPET"
"455";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E62>";"\xF0\x9F\x8E\xBB";"VIOLIN"
"456";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E63>";"\xF0\x9F\x8E\xBC";"MUSICAL SCORE"
"457";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E64>";"\xF0\x9F\x8E\xBD";"RUNNING SHIRT WITH SASH"
"458";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E65>";"\xF0\x9F\x8E\xBE";"TENNIS RACQUET AND BALL"
"459";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+623C><U+3E66>";"\xF0\x9F\x8E\xBF";"SKI AND SKI BOOT"
"460";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E66><U+383C><U+3E30>";"\xF0\x9F\x8F\x80";"BASKETBALL AND HOOP"
