"";"Native";"Bytes";"Description"
"68";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E62>";"\xF0\x9F\x98\x9B";"FACE WITH STUCK-OUT TONGUE"
"69";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E66>";"\xF0\x9F\x98\x9F";"WORRIED FACE"
"70";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E36>";"\xF0\x9F\x98\xA6";"FROWNING FACE WITH OPEN MOUTH"
"71";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E37>";"\xF0\x9F\x98\xA7";"ANGUISHED FACE"
"72";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E63>";"\xF0\x9F\x98\xAC";"GRIMACING FACE"
"73";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E65>";"\xF0\x9F\x98\xAE";"FACE WITH OPEN MOUTH"
"74";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+613C><U+3E66>";"\xF0\x9F\x98\xAF";"HUSHED FACE"
"75";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E34>";"\xF0\x9F\x98\xB4";"SLEEPING FACE"
"76";"<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+623C><U+3E36>";"\xF0\x9F\x98\xB6";"FACE WITHOUT MOUTH"
"77";"<U+2702>";"\xE2\x9C\x82";"BLACK SCISSORS"
"78";"<U+2705>";"\xE2\x9C\x85";"WHITE HEAVY CHECK MARK"
"79";"<U+2708>";"\xE2\x9C\x88";"AIRPLANE"
"80";"<U+2709>";"\xE2\x9C\x89";"ENVELOPE"
"81";"<U+270A>";"\xE2\x9C\x8A";"RAISED FIST"
"82";"<U+270B>";"\xE2\x9C\x8B";"RAISED HAND"
"83";"<U+270C>";"\xE2\x9C\x8C";"VICTORY HAND"
"84";"<U+270F>";"\xE2\x9C\x8F";"PENCIL"
"85";"<U+2712>";"\xE2\x9C\x92";"BLACK NIB"
"86";"<U+2714>";"\xE2\x9C\x94";"HEAVY CHECK MARK"
"87";"<U+2716>";"\xE2\x9C\x96";"HEAVY MULTIPLICATION X"
"88";"<U+2728>";"\xE2\x9C\xA8";"SPARKLES"
"89";"<U+2733>";"\xE2\x9C\xB3";"EIGHT SPOKED ASTERISK"
"90";"<U+2734>";"\xE2\x9C\xB4";"EIGHT POINTED BLACK STAR"
"91";"<U+2744>";"\xE2\x9D\x84";"SNOWFLAKE"
"92";"<U+2747>";"\xE2\x9D\x87";"SPARKLE"
