;timestamp;test_news;test_spam;testing_set_len;train_news;train_spam;training_set_len;R2;acc_AdaBoost;acc_BernoulliNB;acc_LinearSVC;acc_LogReg;acc_MLP;acc_MNB;acc_Naivebayes;acc_RandomForest;acc_SGD;acc_SVC;acc_Voted;kappa_AdaBoost;kappa_BernoulliNB;kappa_LinearSVC;kappa_LogReg;kappa_MLP;kappa_MNB;kappa_Naivebayes;kappa_RandomForest;kappa_SGD;kappa_SVC;kappa_voted;comments;SVR
14;20170719_09:38:41;428.0;3327.0;3755.0;967.0;7793.0;8760.0;-5,77E+38;89.88;91.32;90.76;91.69;91.53;90.97;91.42;88.6;91.11;88.6;91.9;0.32976664662558186;0.5845446665476546;0.5111254936169809;0.4950812267755719;0.4694626337017788;0.6020418977638041;0.6160834036110912;0.0;0.4648271848007629;0.0;0.5176699153835038;;
15;20170719_10:13:39;418.0;3337.0;3755.0;977.0;7783.0;8760.0;-7,51E+38;90.47;91.96;91.26;92.41;91.9;91.05;91.64;88.87;91.88;88.87;92.49;0.4183121189987433;0.5968801500417333;0.5299855367248888;0.543270205388103;0.4838884694158979;0.5974441750840894;0.6144663013196958;0.0;0.5288281746578654;0.0;0.5617275775009308;;
16;20170719_10:50:15;406.0;3349.0;3755.0;989.0;7771.0;8760.0;-1,29E+39;90.17;91.16;91.32;92.09;91.66;90.52;90.92;89.19;91.37;89.19;91.98;0.34702084253277304;0.5569107367026306;0.5240992474257824;0.516046302222897;0.4335479169548366;0.5809819112375514;0.5922425600360736;0.0;0.518198918876106;0.0;0.5241145791448374;;
17;20170719_11:27:40;415.0;3340.0;3755.0;980.0;7780.0;8760.0;-1,14E+40;90.07;91.13;90.63;92.22;91.9;90.2;90.63;88.95;91.11;88.95;92.14;0.351829698617458;0.5475125975917569;0.5086941976731219;0.5370754258934792;0.4930070395949457;0.5696476120774228;0.5791578444639021;0.0;0.42658650329188025;0.0;0.5340456184997844;;
18;20170719_12:03:57;418.0;3337.0;3755.0;977.0;7783.0;8760.0;-3,33E+38;90.55;91.64;90.57;92.01;91.64;90.65;91.24;88.87;91.08;88.87;91.98;0.3715943338011323;0.5636568051804444;0.5091322008862631;0.5210218880028843;0.4669111164361573;0.5767133489908121;0.5917629902606297;0.0;0.5495588242139815;0.0;0.5361216121431558;;
19;20170719_12:38:51;413.0;3342.0;3755.0;982.0;7778.0;8760.0;-2,84E+40;90.65;91.4;90.97;91.93;91.66;90.41;90.76;89.0;91.5;89.0;92.17;0.3881664979256694;0.5629531082609612;0.5242307098612589;0.5153296928694023;0.4688487591791098;0.5798491708874453;0.5816929655228205;0.0;0.5274696750519433;0.0;0.540616206868141;;
20;20170719_13:15:45;409.0;3346.0;3755.0;986.0;7774.0;8760.0;-2,29E+38;89.91;92.04;91.32;92.38;91.9;91.37;91.85;89.11;92.14;89.11;92.41;0.3352327639401216;0.5928523741952658;0.5263212067930091;0.5417351192889177;0.4990819955275811;0.6062040454861486;0.6230649367690718;0.0;0.5371749549490079;0.0;0.5517638558758545;;
21;20170719_13:53:14;427.0;3328.0;3755.0;968.0;7792.0;8760.0;-1,46E+40;89.51;91.05;90.92;91.77;91.21;90.15;90.79;88.63;91.05;88.63;91.4;0.2913913438308852;0.5551685111994105;0.5357277401637353;0.521975108650916;0.446487789363846;0.5637052784956802;0.5828857399144598;0.0;0.5496409420959788;0.0;0.5209295711783166;;
22;20170719_14:55:15;404.0;3351.0;3755.0;991.0;7768.0;8759.0;-1.4752567922261787e+25;90.33;91.74;90.12;91.96;91.32;91.5;91.66;90.84;91.24;89.24;92.14;0.31555415626614697;0.5737929044692707;0.4746201843027736;0.4955193257991099;0.3933974559095346;0.605287134748618;0.5978720645257752;0.4386076538013892;0.5213292949284489;0.0;0.5392287319779356;;
23;20170720_15:42:55;444.0;3312.0;3756.0;951.0;7813.0;8764.0;-2.3516558161021848e+24;89.51;91.11;90.36;91.37;91.03;89.91;90.79;88.18;91.13;88.18;91.37;0.3276743754974756;0.5640995705291245;0.5139960023676959;0.5016658312940411;0.4444830655312065;0.5624863999645939;0.5908434900221398;0.0;0.5282667040810323;0.0;0.5164317457895438;;
24;20170720_16:12:51;441.0;3314.0;3755.0;954.0;7805.0;8759.0;-1.8470867679774594e+24;90.07;91.48;90.95;91.61;91.66;90.71;91.19;88.26;91.21;88.26;91.74;0.39242460588924505;0.5789762844797262;0.5535611254441837;0.5312947649014241;0.4939420647916396;0.5986029921879666;0.6103913405599822;0.0;0.5513674576222095;0.0;0.5573789441583757;;
25;20170725_10:44:44;423.0;3323.0;3746.0;970.0;7768.0;8738.0;-6.673924740004422e+23;89.27;90.52;89.19;90.71;90.71;89.78;90.39;89.83;89.8;88.71;90.6;0.2900279011700757;0.5195280801283924;0.4215516643167231;0.4187737253094035;0.3887402480847843;0.5307941308632008;0.5447219467005707;0.4115885911612918;0.44143196070976576;0.0;0.44913099532180495;;
26;20170725_11:33:45;426.0;3320.0;3746.0;967.0;7771.0;8738.0;-1.5822147241968013e+24;89.78;91.08;90.02;91.67;91.35;90.31;90.82;90.39;90.58;88.63;91.91;0.30800470359898685;0.5246062842534979;0.4802464537402121;0.4973291287540584;0.431275303643725;0.5698815416976385;0.5707848701653411;0.4299289820764283;0.4936655447447726;0.0;0.532208142685341;;
27;20170725_12:27:56;403.0;3343.0;3746.0;990.0;7748.0;8738.0;-1.0423957024694523e+25;90.36;91.59;89.99;91.43;91.38;90.74;90.95;90.58;91.11;89.24;91.64;0.3424165004439628;0.5383952762571207;0.4652315826099666;0.4670860371264284;0.4133133044796296;0.5721940023130306;0.564352556709222;0.4288445307917511;0.5097625562090734;0.0;0.5048819357819162;;
28;20170725_13:23:17;437.0;3309.0;3746.0;956.0;7782.0;8738.0;-2.972274323822202e+25;89.3;90.52;90.2;91.19;90.66;89.3;89.72;89.78;90.92;88.33;91.19;0.34945280526623484;0.5196689987972127;0.5164737999790375;0.4965714011114543;0.41094330840404303;0.5427994874495136;0.5451374323876809;0.4297246956675203;0.5375661260397713;0.0;0.52438554250243;;
29;20170725_14:16:39;393.0;3353.0;3746.0;1000.0;7738.0;8738.0;-1.7841330964489475e+25;90.02;91.46;91.03;92.1;91.64;90.34;90.92;90.44;91.32;89.51;92.23;0.3022673010820064;0.5389428517141561;0.5114402361875247;0.503418427532292;0.4169281584645266;0.5579462631918319;0.5681431484549461;0.4208995853661275;0.5406296292662828;0.0;0.5427219238729821;;
30;20170725_16:38:04;394.0;3352.0;3746.0;999.0;7739.0;8738.0;-1.441862808107542e+25;90.63;91.91;90.84;91.94;91.51;91.11;91.48;91.32;91.46;89.48;91.96;0.3613066815631604;0.5506604476459758;0.5006967593114321;0.4796293672712018;0.4287421497051706;0.5799534904707995;0.5817835656614088;0.4654544241116081;0.4702380110591001;0.0;0.513769570245895;;
