;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
42;2017_08_01_21:12:43;AdaBoost;978.0;7704.0;414.0;3308.0;117.0;3230.0;78.0;297.0;89.92;33.7;0.28;0.02;0.6;0.28;0.38;0.98;0.72;0.92;0.98;0.95
43;2017_08_01_21:12:43;Vote;978.0;7704.0;414.0;3308.0;206.0;3210.0;98.0;208.0;91.78;52.95;0.5;0.03;0.68;0.5;0.58;0.97;0.5;0.94;0.97;0.95
44;2017_08_01_20:20:31;LogisticRegression;968.0;7714.0;424.0;3298.0;167.0;3245.0;53.0;257.0;91.67;47.8;0.39;0.02;0.76;0.39;0.52;0.98;0.61;0.93;0.98;0.95
45;2017_08_01_20:20:31;NaiveBayes;968.0;7714.0;424.0;3298.0;278.0;3106.0;192.0;146.0;90.92;57.05;0.66;0.06;0.59;0.66;0.62;0.94;0.34;0.96;0.94;0.95
46;2017_08_01_20:20:31;MultinomialNB;968.0;7714.0;424.0;3298.0;291.0;3079.0;219.0;133.0;90.54;56.96;0.69;0.07;0.57;0.69;0.62;0.93;0.31;0.96;0.93;0.94
47;2017_08_01_20:20:31;BernoulliNB;968.0;7714.0;424.0;3298.0;216.0;3171.0;127.0;208.0;91.0;51.37;0.51;0.04;0.63;0.51;0.56;0.96;0.49;0.94;0.96;0.95
48;2017_08_01_20:20:31;LinearSVC;968.0;7714.0;424.0;3298.0;212.0;3132.0;166.0;212.0;89.84;47.2;0.5;0.05;0.56;0.5;0.53;0.95;0.5;0.94;0.95;0.94
49;2017_08_01_20:20:31;LinearSVC;968.0;7714.0;424.0;3298.0;212.0;3132.0;166.0;212.0;89.84;47.2;0.5;0.05;0.56;0.5;0.53;0.95;0.5;0.94;0.95;0.94
50;2017_08_01_20:20:31;SGD;968.0;7714.0;424.0;3298.0;192.0;3183.0;115.0;232.0;90.68;47.51;0.45;0.03;0.63;0.45;0.53;0.97;0.55;0.93;0.97;0.95
51;2017_08_01_20:20:31;MLP;968.0;7714.0;424.0;3298.0;132.0;3263.0;35.0;292.0;91.21;40.86;0.31;0.01;0.79;0.31;0.45;0.99;0.69;0.92;0.99;0.95
52;2017_08_01_20:20:31;RandomForest;968.0;7714.0;424.0;3298.0;159.0;3222.0;76.0;265.0;90.84;43.68;0.38;0.02;0.68;0.38;0.49;0.98;0.62;0.92;0.98;0.95
53;2017_08_01_20:20:31;AdaBoost;968.0;7714.0;424.0;3298.0;106.0;3243.0;55.0;318.0;89.98;31.97;0.25;0.02;0.66;0.25;0.36;0.98;0.75;0.91;0.98;0.94
54;2017_08_01_20:20:31;Vote;968.0;7714.0;424.0;3298.0;188.0;3219.0;79.0;236.0;91.54;50.01;0.44;0.02;0.7;0.44;0.54;0.98;0.56;0.93;0.98;0.95
55;2017_08_01_19:24:51;LogisticRegression;971.0;7711.0;421.0;3301.0;170.0;3234.0;67.0;251.0;91.46;47.38;0.4;0.02;0.72;0.4;0.51;0.98;0.6;0.93;0.98;0.95
56;2017_08_01_19:24:51;NaiveBayes;971.0;7711.0;421.0;3301.0;270.0;3140.0;161.0;151.0;91.62;58.65;0.64;0.05;0.63;0.64;0.63;0.95;0.36;0.95;0.95;0.95
57;2017_08_01_19:24:51;MultinomialNB;971.0;7711.0;421.0;3301.0;287.0;3111.0;190.0;134.0;91.3;58.99;0.68;0.06;0.6;0.68;0.64;0.94;0.32;0.96;0.94;0.95
58;2017_08_01_19:24:51;BernoulliNB;971.0;7711.0;421.0;3301.0;216.0;3187.0;114.0;205.0;91.43;52.83;0.51;0.03;0.65;0.51;0.57;0.97;0.49;0.94;0.97;0.95
59;2017_08_01_19:24:51;LinearSVC;971.0;7711.0;421.0;3301.0;211.0;3167.0;134.0;210.0;90.76;50.0;0.5;0.04;0.61;0.5;0.55;0.96;0.5;0.94;0.96;0.95
60;2017_08_01_19:24:51;LinearSVC;971.0;7711.0;421.0;3301.0;211.0;3167.0;134.0;210.0;90.76;50.0;0.5;0.04;0.61;0.5;0.55;0.96;0.5;0.94;0.96;0.95
61;2017_08_01_19:24:51;SGD;971.0;7711.0;421.0;3301.0;203.0;3184.0;117.0;218.0;91.0;49.9;0.48;0.04;0.63;0.48;0.54;0.96;0.52;0.94;0.96;0.95
62;2017_08_01_19:24:51;MLP;971.0;7711.0;421.0;3301.0;143.0;3247.0;54.0;278.0;91.08;42.1;0.34;0.02;0.73;0.34;0.46;0.98;0.66;0.92;0.98;0.95
63;2017_08_01_19:24:51;RandomForest;971.0;7711.0;421.0;3301.0;147.0;3216.0;85.0;274.0;90.35;40.22;0.35;0.03;0.63;0.35;0.45;0.97;0.65;0.92;0.97;0.94
