;time_stamp;Name;Train_News;Train_Spam;Test_News;Test_Spam;True_News;True_Spam;False_News;False_Spam;Accuracy;Kappa;News_TPR;News_FPR;News_Prec;News_Recall;News_F1;Spam_TPR;Spam_FPR;Spam_Prec;Spam_Recall;Spam_F1
639;2017_08_02_13:47:26;SGD;989.0;954.0;402.0;431.0;308.0;372.0;59.0;94.0;81.63;63.11;0.77;0.14;0.84;0.77;0.8;0.86;0.23;0.8;0.86;0.83
640;2017_08_02_13:47:26;MLP;989.0;954.0;402.0;431.0;332.0;355.0;76.0;70.0;82.47;64.92;0.83;0.18;0.81;0.83;0.82;0.82;0.17;0.84;0.82;0.83
641;2017_08_02_13:47:26;RandomForest;989.0;954.0;402.0;431.0;307.0;371.0;60.0;95.0;81.39;62.63;0.76;0.14;0.84;0.76;0.8;0.86;0.24;0.8;0.86;0.83
642;2017_08_02_13:47:26;AdaBoost;989.0;954.0;402.0;431.0;235.0;383.0;48.0;167.0;74.19;47.8;0.58;0.11;0.83;0.58;0.68;0.89;0.42;0.7;0.89;0.78
643;2017_08_02_13:47:26;Vote;989.0;954.0;402.0;431.0;334.0;362.0;69.0;68.0;83.55;67.07;0.83;0.16;0.83;0.83;0.83;0.84;0.17;0.84;0.84;0.84
644;2017_08_02_13:27:07;LogisticRegression;983.0;960.0;408.0;425.0;333.0;363.0;62.0;75.0;83.55;67.07;0.82;0.15;0.84;0.82;0.83;0.85;0.18;0.83;0.85;0.84
645;2017_08_02_13:27:07;NaiveBayes;983.0;960.0;408.0;425.0;366.0;332.0;93.0;42.0;83.79;67.65;0.9;0.22;0.8;0.9;0.85;0.78;0.1;0.89;0.78;0.83
646;2017_08_02_13:27:07;MultinomialNB;983.0;960.0;408.0;425.0;362.0;331.0;94.0;46.0;83.19;66.45;0.89;0.22;0.79;0.89;0.84;0.78;0.11;0.88;0.78;0.83
647;2017_08_02_13:27:07;BernoulliNB;983.0;960.0;408.0;425.0;363.0;323.0;102.0;45.0;82.35;64.79;0.89;0.24;0.78;0.89;0.83;0.76;0.11;0.88;0.76;0.82
648;2017_08_02_13:27:07;LinearSVC;983.0;960.0;408.0;425.0;325.0;355.0;70.0;83.0;81.63;63.23;0.8;0.16;0.82;0.8;0.81;0.84;0.2;0.81;0.84;0.82
649;2017_08_02_13:27:07;SVC;983.0;960.0;408.0;425.0;324.0;344.0;81.0;84.0;80.19;60.36;0.79;0.19;0.8;0.79;0.79;0.81;0.21;0.8;0.81;0.8
650;2017_08_02_13:27:07;SVC;983.0;960.0;408.0;425.0;408.0;0.0;425.0;0.0;48.98;0.0;1.0;1.0;0.49;1.0;0.66;0.0;0.0;0.0;0.0;0.0
651;2017_08_02_13:27:07;SVC;983.0;960.0;408.0;425.0;408.0;11.0;414.0;0.0;50.3;2.54;1.0;0.97;0.5;1.0;0.67;0.03;0.0;1.0;0.03;0.06
652;2017_08_02_13:27:07;SVC;983.0;960.0;408.0;425.0;310.0;330.0;95.0;98.0;76.83;53.64;0.76;0.22;0.77;0.76;0.76;0.78;0.24;0.77;0.78;0.77
653;2017_08_02_13:27:07;SGD;983.0;960.0;408.0;425.0;341.0;347.0;78.0;67.0;82.59;65.19;0.84;0.18;0.81;0.84;0.82;0.82;0.16;0.84;0.82;0.83
654;2017_08_02_13:27:07;MLP;983.0;960.0;408.0;425.0;325.0;361.0;64.0;83.0;82.35;64.66;0.8;0.15;0.84;0.8;0.82;0.85;0.2;0.81;0.85;0.83
655;2017_08_02_13:27:07;RandomForest;983.0;960.0;408.0;425.0;304.0;366.0;59.0;104.0;80.43;60.76;0.75;0.14;0.84;0.75;0.79;0.86;0.25;0.78;0.86;0.82
656;2017_08_02_13:27:07;AdaBoost;983.0;960.0;408.0;425.0;243.0;383.0;42.0;165.0;75.15;49.98;0.6;0.1;0.85;0.6;0.7;0.9;0.4;0.7;0.9;0.79
657;2017_08_02_13:27:07;Vote;983.0;960.0;408.0;425.0;336.0;360.0;65.0;72.0;83.55;67.08;0.82;0.15;0.84;0.82;0.83;0.85;0.18;0.83;0.85;0.84
658;2017_08_02_12:33:07;LogisticRegression;994.0;949.0;397.0;436.0;328.0;384.0;52.0;69.0;85.47;70.83;0.83;0.12;0.86;0.83;0.84;0.88;0.17;0.85;0.88;0.86
659;2017_08_02_12:33:07;NaiveBayes;994.0;949.0;397.0;436.0;354.0;367.0;69.0;43.0;86.55;73.13;0.89;0.16;0.84;0.89;0.86;0.84;0.11;0.9;0.84;0.87
660;2017_08_02_12:33:07;MultinomialNB;994.0;949.0;397.0;436.0;357.0;365.0;71.0;40.0;86.67;73.38;0.9;0.16;0.83;0.9;0.86;0.84;0.1;0.9;0.84;0.87
661;2017_08_02_12:33:07;BernoulliNB;994.0;949.0;397.0;436.0;357.0;361.0;75.0;40.0;86.19;72.44;0.9;0.17;0.83;0.9;0.86;0.83;0.1;0.9;0.83;0.86
662;2017_08_02_12:33:07;LinearSVC;994.0;949.0;397.0;436.0;316.0;367.0;69.0;81.0;81.99;63.86;0.8;0.16;0.82;0.8;0.81;0.84;0.2;0.82;0.84;0.83
663;2017_08_02_12:33:07;SVC;994.0;949.0;397.0;436.0;315.0;368.0;68.0;82.0;81.99;63.85;0.79;0.16;0.82;0.79;0.8;0.84;0.21;0.82;0.84;0.83
664;2017_08_02_12:33:07;SVC;994.0;949.0;397.0;436.0;397.0;0.0;436.0;0.0;47.66;0.0;1.0;1.0;0.48;1.0;0.65;0.0;0.0;0.0;0.0;0.0
665;2017_08_02_12:33:07;SVC;994.0;949.0;397.0;436.0;397.0;15.0;421.0;0.0;49.46;3.28;1.0;0.97;0.49;1.0;0.66;0.03;0.0;1.0;0.03;0.06
666;2017_08_02_12:33:07;SVC;994.0;949.0;397.0;436.0;315.0;342.0;94.0;82.0;78.87;57.71;0.79;0.22;0.77;0.79;0.78;0.78;0.21;0.81;0.78;0.79
667;2017_08_02_12:33:07;SGD;994.0;949.0;397.0;436.0;304.0;377.0;59.0;93.0;81.75;63.28;0.77;0.14;0.84;0.77;0.8;0.86;0.23;0.8;0.86;0.83
668;2017_08_02_12:33:07;MLP;994.0;949.0;397.0;436.0;327.0;378.0;58.0;70.0;84.63;69.16;0.82;0.13;0.85;0.82;0.83;0.87;0.18;0.84;0.87;0.85
669;2017_08_02_12:33:07;RandomForest;994.0;949.0;397.0;436.0;295.0;389.0;47.0;102.0;82.11;63.92;0.74;0.11;0.86;0.74;0.8;0.89;0.26;0.79;0.89;0.84
670;2017_08_02_12:33:07;AdaBoost;994.0;949.0;397.0;436.0;222.0;405.0;31.0;175.0;75.27;49.61;0.56;0.07;0.88;0.56;0.68;0.93;0.44;0.7;0.93;0.8
671;2017_08_02_12:33:07;Vote;994.0;949.0;397.0;436.0;331.0;386.0;50.0;66.0;86.07;72.04;0.83;0.11;0.87;0.83;0.85;0.89;0.17;0.85;0.89;0.87
672;2017_08_02_12:17:42;LogisticRegression;965.0;978.0;426.0;407.0;360.0;358.0;49.0;66.0;86.19;72.4;0.85;0.12;0.88;0.85;0.86;0.88;0.15;0.84;0.88;0.86
673;2017_08_02_12:17:42;NaiveBayes;965.0;978.0;426.0;407.0;384.0;343.0;64.0;42.0;87.27;74.51;0.9;0.16;0.86;0.9;0.88;0.84;0.1;0.89;0.84;0.86
674;2017_08_02_12:17:42;MultinomialNB;965.0;978.0;426.0;407.0;383.0;340.0;67.0;43.0;86.79;73.54;0.9;0.16;0.85;0.9;0.87;0.84;0.1;0.89;0.84;0.86
675;2017_08_02_12:17:42;BernoulliNB;965.0;978.0;426.0;407.0;380.0;343.0;64.0;46.0;86.79;73.55;0.89;0.16;0.86;0.89;0.87;0.84;0.11;0.88;0.84;0.86
676;2017_08_02_12:17:42;LinearSVC;965.0;978.0;426.0;407.0;347.0;347.0;60.0;79.0;83.31;66.64;0.81;0.15;0.85;0.81;0.83;0.85;0.19;0.81;0.85;0.83
677;2017_08_02_12:17:42;SVC;965.0;978.0;426.0;407.0;348.0;341.0;66.0;78.0;82.71;65.43;0.82;0.16;0.84;0.82;0.83;0.84;0.18;0.81;0.84;0.82
678;2017_08_02_12:17:42;SVC;965.0;978.0;426.0;407.0;0.0;407.0;0.0;426.0;48.86;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.49;1.0;0.66
679;2017_08_02_12:17:42;SVC;965.0;978.0;426.0;407.0;13.0;407.0;0.0;413.0;50.42;2.98;0.03;0.0;1.0;0.03;0.06;1.0;0.97;0.5;1.0;0.67
680;2017_08_02_12:17:42;SVC;965.0;978.0;426.0;407.0;328.0;324.0;83.0;98.0;78.27;56.56;0.77;0.2;0.8;0.77;0.78;0.8;0.23;0.77;0.8;0.78
681;2017_08_02_12:17:42;SGD;965.0;978.0;426.0;407.0;329.0;350.0;57.0;97.0;81.51;63.09;0.77;0.14;0.85;0.77;0.81;0.86;0.23;0.78;0.86;0.82
682;2017_08_02_12:17:42;MLP;965.0;978.0;426.0;407.0;352.0;358.0;49.0;74.0;85.23;70.49;0.83;0.12;0.88;0.83;0.85;0.88;0.17;0.83;0.88;0.85
683;2017_08_02_12:17:42;RandomForest;965.0;978.0;426.0;407.0;331.0;360.0;47.0;95.0;82.95;65.98;0.78;0.12;0.88;0.78;0.83;0.88;0.22;0.79;0.88;0.83
684;2017_08_02_12:17:42;AdaBoost;965.0;978.0;426.0;407.0;249.0;382.0;25.0;177.0;75.75;51.88;0.58;0.06;0.91;0.58;0.71;0.94;0.42;0.68;0.94;0.79
685;2017_08_02_12:17:42;Vote;965.0;978.0;426.0;407.0;359.0;361.0;46.0;67.0;86.43;72.89;0.84;0.11;0.89;0.84;0.86;0.89;0.16;0.84;0.89;0.86
686;2017_08_02_12:01:43;LogisticRegression;984.0;959.0;407.0;426.0;346.0;377.0;49.0;61.0;86.79;73.56;0.85;0.12;0.88;0.85;0.86;0.88;0.15;0.86;0.88;0.87
687;2017_08_02_12:01:43;NaiveBayes;984.0;959.0;407.0;426.0;371.0;357.0;69.0;36.0;87.39;74.82;0.91;0.16;0.84;0.91;0.87;0.84;0.09;0.91;0.84;0.87
688;2017_08_02_12:01:43;MultinomialNB;984.0;959.0;407.0;426.0;376.0;349.0;77.0;31.0;87.03;74.12;0.92;0.18;0.83;0.92;0.87;0.82;0.08;0.92;0.82;0.87
689;2017_08_02_12:01:43;BernoulliNB;984.0;959.0;407.0;426.0;376.0;349.0;77.0;31.0;87.03;74.12;0.92;0.18;0.83;0.92;0.87;0.82;0.08;0.92;0.82;0.87
690;2017_08_02_12:01:43;LinearSVC;984.0;959.0;407.0;426.0;329.0;364.0;62.0;78.0;83.19;66.34;0.81;0.15;0.84;0.81;0.82;0.85;0.19;0.82;0.85;0.83
691;2017_08_02_12:01:43;SVC;984.0;959.0;407.0;426.0;329.0;361.0;65.0;78.0;82.83;65.62;0.81;0.15;0.84;0.81;0.82;0.85;0.19;0.82;0.85;0.83
692;2017_08_02_12:01:43;SVC;984.0;959.0;407.0;426.0;407.0;0.0;426.0;0.0;48.86;0.0;1.0;1.0;0.49;1.0;0.66;0.0;0.0;0.0;0.0;0.0
693;2017_08_02_12:01:43;SVC;984.0;959.0;407.0;426.0;407.0;9.0;417.0;0.0;49.94;2.07;1.0;0.98;0.49;1.0;0.66;0.02;0.0;1.0;0.02;0.04
694;2017_08_02_12:01:43;SVC;984.0;959.0;407.0;426.0;330.0;329.0;97.0;77.0;79.11;58.25;0.81;0.23;0.77;0.81;0.79;0.77;0.19;0.81;0.77;0.79
695;2017_08_02_12:01:43;SGD;984.0;959.0;407.0;426.0;345.0;332.0;94.0;62.0;81.27;62.59;0.85;0.22;0.79;0.85;0.82;0.78;0.15;0.84;0.78;0.81
696;2017_08_02_12:01:43;MLP;984.0;959.0;407.0;426.0;343.0;373.0;53.0;64.0;85.95;71.88;0.84;0.12;0.87;0.84;0.85;0.88;0.16;0.85;0.88;0.86
697;2017_08_02_12:01:43;RandomForest;984.0;959.0;407.0;426.0;325.0;380.0;46.0;82.0;84.63;69.19;0.8;0.11;0.88;0.8;0.84;0.89;0.2;0.82;0.89;0.85
698;2017_08_02_12:01:43;AdaBoost;984.0;959.0;407.0;426.0;227.0;394.0;32.0;180.0;74.55;48.66;0.56;0.08;0.88;0.56;0.68;0.92;0.44;0.69;0.92;0.79
699;2017_08_02_12:01:43;Vote;984.0;959.0;407.0;426.0;351.0;373.0;53.0;56.0;86.91;73.81;0.86;0.12;0.87;0.86;0.86;0.88;0.14;0.87;0.88;0.87
700;2017_08_02_11:45:34;LogisticRegression;975.0;968.0;416.0;417.0;344.0;364.0;53.0;72.0;84.99;69.99;0.83;0.13;0.87;0.83;0.85;0.87;0.17;0.83;0.87;0.85
701;2017_08_02_11:45:34;NaiveBayes;975.0;968.0;416.0;417.0;373.0;330.0;87.0;43.0;84.39;68.79;0.9;0.21;0.81;0.9;0.85;0.79;0.1;0.88;0.79;0.83
702;2017_08_02_11:45:34;MultinomialNB;975.0;968.0;416.0;417.0;375.0;325.0;92.0;41.0;84.03;68.07;0.9;0.22;0.8;0.9;0.85;0.78;0.1;0.89;0.78;0.83
703;2017_08_02_11:45:34;BernoulliNB;975.0;968.0;416.0;417.0;376.0;322.0;95.0;40.0;83.79;67.59;0.9;0.23;0.8;0.9;0.85;0.77;0.1;0.89;0.77;0.83
704;2017_08_02_11:45:34;LinearSVC;975.0;968.0;416.0;417.0;340.0;350.0;67.0;76.0;82.83;65.67;0.82;0.16;0.84;0.82;0.83;0.84;0.18;0.82;0.84;0.83
705;2017_08_02_11:45:34;SVC;975.0;968.0;416.0;417.0;339.0;346.0;71.0;77.0;82.23;64.47;0.81;0.17;0.83;0.81;0.82;0.83;0.19;0.82;0.83;0.82
