time_stamp;Train_News;Train_Spam;Accuracy;Kappa;News_F1;AdaBoost;BernoulliNB;LinearSVC;LogisticRegression;MLP;MultinomialNB;NaiveBayes;RandomForest;SGD;SVC;Vote
2017_08_02_22:31:29;970.0;973.0;84.27;68.55;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;85.35;70.67;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;84.99;69.95;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;85.23;70.43;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;83.91;67.83;0.84;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;84.03;68.07;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:31:29;970.0;973.0;49.46;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:31:29;970.0;973.0;50.54;2.11;0.06;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:31:29;970.0;973.0;80.07;60.14;0.8;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:31:29;970.0;973.0;83.07;66.18;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_22:31:29;970.0;973.0;84.63;69.26;0.85;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;83.67;67.36;0.83;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_22:31:29;970.0;973.0;74.07;48.35;0.68;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_22:31:29;970.0;973.0;86.19;72.39;0.86;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_22:16:24;1005.0;938.0;86.31;72.55;0.85;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;86.79;73.69;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;86.67;73.45;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;86.19;72.54;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;83.31;66.58;0.82;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;83.31;66.61;0.82;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:16:24;1005.0;938.0;46.34;0.0;0.63;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:16:24;1005.0;938.0;47.06;1.25;0.64;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:16:24;1005.0;938.0;78.39;56.89;0.78;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:16:24;1005.0;938.0;82.95;66.07;0.83;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_22:16:24;1005.0;938.0;85.83;71.6;0.85;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;86.79;73.48;0.86;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_22:16:24;1005.0;938.0;79.23;57.39;0.74;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_22:16:24;1005.0;938.0;87.52;75.0;0.87;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_22:01:20;953.0;990.0;82.59;65.13;0.83;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;86.19;72.15;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;84.63;68.97;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;84.99;69.74;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;81.63;63.2;0.82;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;80.79;61.53;0.81;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:01:20;953.0;990.0;47.42;0.0;0.0;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:01:20;953.0;990.0;49.22;3.25;0.06;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:01:20;953.0;990.0;76.95;53.74;0.78;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_22:01:20;953.0;990.0;80.19;60.14;0.81;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_22:01:20;953.0;990.0;83.43;66.85;0.84;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;80.91;61.81;0.81;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_22:01:20;953.0;990.0;74.91;50.55;0.72;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_22:01:20;953.0;990.0;83.55;67.01;0.84;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_21:44:31;980.0;963.0;85.95;71.9;0.85;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;86.07;72.16;0.86;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;86.31;72.65;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;86.19;72.4;0.86;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;85.23;70.45;0.85;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;84.87;69.73;0.84;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:44:31;980.0;963.0;49.34;0.0;0.66;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:44:31;980.0;963.0;50.06;1.4;0.67;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:44:31;980.0;963.0;80.55;61.08;0.8;0;0;0;0;0;0;0;0;0;1;0
2017_08_02_21:44:31;980.0;963.0;82.47;64.93;0.82;0;0;0;0;0;0;0;0;1;0;0
2017_08_02_21:44:31;980.0;963.0;86.07;72.14;0.86;0;0;0;0;1;0;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;84.75;69.47;0.84;0;0;0;0;0;0;0;1;0;0;0
2017_08_02_21:44:31;980.0;963.0;75.75;51.28;0.71;1;0;0;0;0;0;0;0;0;0;0
2017_08_02_21:44:31;980.0;963.0;85.47;70.94;0.85;0;0;0;0;0;0;0;0;0;0;1
2017_08_02_21:14:14;975.0;968.0;85.23;70.47;0.84;0;0;0;1;0;0;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;86.91;73.83;0.87;0;0;0;0;0;0;1;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;85.95;71.91;0.86;0;0;0;0;0;1;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;85.95;71.91;0.87;0;1;0;0;0;0;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;83.67;67.35;0.83;0;0;1;0;0;0;0;0;0;0;0
2017_08_02_21:14:14;975.0;968.0;83.79;67.59;0.83;0;0;0;0;0;0;0;0;0;1;0
