;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866661103203360768;2017_06_08 15:51:53;[ 0.85904292];[2];[2];[2];[ 0.97416699];[1];[2];[2];[1];[1];[1]
0;866668601419456512;2017_06_08 15:51:54;[ 0.86445869];[2];[1];[2];[-133.94567226];[1];[2];[2];[1];[1];[1]
0;866668290290184192;2017_06_08 15:51:55;[ 0.98650263];[1];[1];[2];[-747.03496069];[1];[1];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:51:55;[ 0.92604558];[2];[1];[2];[-66.30612845];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:51:57;[ 1.18415295];[2];[2];[2];[ 1.60720016];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:51:58;[ 1.09769866];[2];[2];[2];[ 1.66648653];[1];[2];[2];[2];[1];[2]
0;869140128438136832;2017_06_08 15:51:59;[ 1.31141292];[2];[1];[2];[ 0.80800489];[1];[2];[2];[1];[2];[1]
0;866661103203360768;2017_06_08 15:51:33;[ 0.88502925];[2];[2];[2];[-1.49840078];[1];[1];[1];[1];[1];[1]
0;866668601419456512;2017_06_08 15:51:34;[ 0.89945432];[2];[1];[2];[-547.64240537];[1];[1];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:51:35;[ 1.05649452];[1];[1];[2];[-3382.58941879];[1];[2];[1];[1];[2];[1]
0;866630898715947009;2017_06_08 15:51:37;[ 0.96529141];[2];[1];[2];[-301.96913384];[1];[2];[1];[1];[2];[2]
0;869132139186573312;2017_06_08 15:51:38;[ 1.20414364];[2];[1];[2];[ 2.02435924];[1];[2];[2];[1];[1];[2]
0;860779411116888064;2017_06_08 15:51:38;[ 1.10901337];[2];[2];[2];[ 2.17162879];[1];[2];[2];[2];[1];[2]
0;869140128438136832;2017_06_08 15:51:39;[ 1.33398058];[2];[1];[2];[ 1.2774852];[1];[2];[2];[1];[2];[2]
0;866661103203360768;2017_06_08 15:51:15;[ 0.89261752];[1];[2];[2];[ 5.58818041];[1];[2];[1];[1];[2];[1]
0;866668601419456512;2017_06_08 15:51:15;[ 0.90012932];[1];[1];[2];[ 343.82468324];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:51:16;[ 1.01236833];[1];[1];[2];[ 2027.19271952];[1];[2];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:51:17;[ 0.97516988];[1];[1];[2];[ 185.45749393];[1];[2];[1];[1];[2];[2]
0;869132139186573312;2017_06_08 15:51:17;[ 1.21995149];[1];[2];[2];[ 3.06861709];[1];[2];[2];[1];[2];[1]
0;860779411116888064;2017_06_08 15:51:18;[ 1.1275802];[1];[2];[2];[ 3.35556032];[1];[2];[2];[2];[2];[1]
0;869140128438136832;2017_06_08 15:51:19;[ 1.34955383];[2];[1];[2];[ 6.67783451];[1];[2];[2];[2];[2];[1]
0;866661103203360768;2017_06_08 15:50:54;[ 0.8933205];[2];[2];[2];[ 1.69669388];[1];[1];[2];[1];[1];[1]
