id;created_at;retweet_count
8.543795038330143e+17;Tue Apr 18 17:02:01 +0000 2017;0.0
8.543811350859325e+17;Tue Apr 18 17:08:30 +0000 2017;0.0
8.543673032022548e+17;Tue Apr 18 16:13:33 +0000 2017;0.0
8.543806940295987e+17;Tue Apr 18 17:06:45 +0000 2017;0.0
8.543806372092436e+17;Tue Apr 18 17:06:32 +0000 2017;0.0
8.543800151395983e+17;Tue Apr 18 17:04:03 +0000 2017;0.0
8.543669820278497e+17;Tue Apr 18 16:12:16 +0000 2017;0.0
8.543798202511032e+17;Tue Apr 18 17:03:17 +0000 2017;0.0
8.543783814456648e+17;Tue Apr 18 16:57:34 +0000 2017;0.0
8.543669785087713e+17;Tue Apr 18 16:12:15 +0000 2017;0.0
8.543804479960146e+17;Tue Apr 18 17:05:47 +0000 2017;0.0
8.543737176102461e+17;Tue Apr 18 16:39:02 +0000 2017;2.0
8.54367070082945e+17;Tue Apr 18 16:12:37 +0000 2017;0.0
8.543739978818683e+17;Tue Apr 18 16:40:09 +0000 2017;0.0
8.543663460159816e+17;Tue Apr 18 16:09:44 +0000 2017;0.0
8.543669750610862e+17;Tue Apr 18 16:12:14 +0000 2017;0.0
8.543665010836767e+17;Tue Apr 18 16:10:21 +0000 2017;0.0
8.543669802662216e+17;Tue Apr 18 16:12:16 +0000 2017;0.0
8.543666417229292e+17;Tue Apr 18 16:10:55 +0000 2017;0.0
8.543669661061612e+17;Tue Apr 18 16:12:12 +0000 2017;0.0
8.54375450759639e+17;Tue Apr 18 16:45:55 +0000 2017;1.0
8.543669501468795e+17;Tue Apr 18 16:12:08 +0000 2017;0.0
8.543669602132173e+17;Tue Apr 18 16:12:11 +0000 2017;0.0
8.543669400596234e+17;Tue Apr 18 16:12:06 +0000 2017;0.0
8.543822411279729e+17;Tue Apr 18 17:12:54 +0000 2017;0.0
8.543729916096143e+17;Tue Apr 18 16:36:09 +0000 2017;0.0
